#{"t_start": 1741741621.6405818, "env_id": "None"}
r,l,t
20.0,1,0.849773
20.0,1,0.870851
20.0,1,0.895044
20.0,1,0.910903
20.0,1,0.917971
20.0,1,0.939181
20.0,1,0.968939
20.0,1,0.978176
20.0,1,0.991974
20.0,1,1.022449
20.0,1,1.048489
20.0,1,1.059813
20.0,1,1.071037
20.0,1,1.094833
20.0,1,1.102285
20.0,1,1.107897
20.0,1,1.116332
20.0,1,1.11855
20.0,1,1.121439
20.0,1,1.123612
20.0,1,1.125703
20.0,1,1.127613
20.0,1,1.129736
20.0,1,1.131734
20.0,1,1.133664
20.0,1,1.135815
20.0,1,1.137941
20.0,1,1.139849
20.0,1,1.141947
20.0,1,1.143961
20.0,1,1.145946
20.0,1,1.147777
20.0,1,1.14971
20.0,1,1.151566
20.0,1,1.15361
20.0,1,1.15556
20.0,1,1.157394
20.0,1,1.159347
20.0,1,1.161121
20.0,1,1.163005
20.0,1,1.16494
20.0,1,1.166873
20.0,1,1.168813
20.0,1,1.170706
20.0,1,1.172661
20.0,1,1.174503
20.0,1,1.176314
20.0,1,1.178044
20.0,1,1.179942
20.0,1,1.181755
20.0,1,1.18364
20.0,1,1.185767
20.0,1,1.18763
20.0,1,1.189625
20.0,1,1.191462
20.0,1,1.193356
20.0,1,1.195332
20.0,1,1.197652
20.0,1,1.199729
20.0,1,1.201842
20.0,1,1.203844
20.0,1,1.205936
20.0,1,1.207895
20.0,1,1.209803
20.0,1,1.211844
20.0,1,1.213914
20.0,1,1.215803
20.0,1,1.217976
20.0,1,1.220199
20.0,1,1.222496
20.0,1,1.224453
20.0,1,1.226433
20.0,1,1.22861
20.0,1,1.230643
20.0,1,1.232619
20.0,1,1.234648
20.0,1,1.237014
20.0,1,1.239615
20.0,1,1.241665
20.0,1,1.243875
20.0,1,1.246211
20.0,1,1.248372
20.0,1,1.250489
20.0,1,1.253018
20.0,1,1.255195
20.0,1,1.257206
20.0,1,1.259292
20.0,1,1.261235
20.0,1,1.263321
20.0,1,1.266184
20.0,1,1.26853
20.0,1,1.271118
20.0,1,1.273143
20.0,1,1.275299
20.0,1,1.277537
20.0,1,1.279776
20.0,1,1.281907
20.0,1,1.284048
20.0,1,1.286521
20.0,1,1.288439
20.0,1,1.290555
20.0,1,1.292668
20.0,1,1.294705
20.0,1,1.296618
20.0,1,1.298495
20.0,1,1.300385
20.0,1,1.302545
20.0,1,1.304599
20.0,1,1.306483
20.0,1,1.308459
20.0,1,1.310369
20.0,1,1.312413
20.0,1,1.314402
20.0,1,1.316447
20.0,1,1.31837
20.0,1,1.320392
20.0,1,1.322579
20.0,1,1.324605
20.0,1,1.326879
20.0,1,1.328885
20.0,1,1.330966
20.0,1,1.332912
20.0,1,1.334947
20.0,1,1.337019
20.0,1,1.33904
20.0,1,1.341044
20.0,1,1.342986
20.0,1,1.345005
20.0,1,1.346868
20.0,1,1.349254
20.0,1,1.35133
20.0,1,1.353373
20.0,1,1.355328
20.0,1,1.357627
20.0,1,1.359556
20.0,1,1.361525
20.0,1,1.363495
20.0,1,1.365718
20.0,1,1.367845
20.0,1,1.370239
20.0,1,1.372295
20.0,1,1.374487
20.0,1,1.376974
20.0,1,1.378983
20.0,1,1.381094
20.0,1,1.383597
20.0,1,1.385693
20.0,1,1.387768
20.0,1,1.390345
20.0,1,1.39275
20.0,1,1.395065
20.0,1,1.397129
20.0,1,1.39934
20.0,1,1.401641
20.0,1,1.404005
20.0,1,1.406882
20.0,1,1.409461
20.0,1,1.412073
20.0,1,1.414708
20.0,1,1.417191
20.0,1,1.420562
20.0,1,1.423686
