#{"t_start": 1741657870.083797, "env_id": "None"}
r,l,t
57.0,10,1.001888
57.0,10,1.083869
119.0,10,1.106957
100.0,10,1.122864
59.0,10,1.198156
159.0,10,1.237475
58.0,10,1.249211
59.0,10,1.261667
79.0,10,1.273771
95.0,10,1.28589
37.0,10,1.297528
60.0,10,1.309482
78.0,10,1.321355
97.0,10,1.333634
56.0,10,1.344768
58.0,10,1.355948
119.0,10,1.367571
58.0,10,1.379136
78.0,10,1.390958
78.0,10,1.402512
57.0,10,1.413619
99.0,10,1.424795
79.0,10,1.436598
59.0,10,1.448477
99.0,10,1.459952
142.0,10,1.471787
161.428571,10,1.484099
76.0,10,1.495779
100.0,10,1.507233
120.0,10,1.518628
57.0,10,1.529761
56.0,10,1.541362
103.0,10,1.553293
139.0,10,1.565338
57.0,10,1.576621
57.0,10,1.588057
77.0,10,1.600604
60.0,10,1.613055
78.0,10,1.625231
98.0,10,1.637371
100.0,10,1.649697
139.0,10,1.66196
99.0,10,1.673285
56.0,10,1.684701
40.0,10,1.696963
97.0,10,1.709067
99.0,10,1.720604
99.0,10,1.732872
58.0,10,1.744907
119.0,10,1.756519
60.0,10,1.768616
56.0,10,1.780371
58.0,10,1.792163
57.0,10,1.803225
39.0,10,1.814879
59.0,10,1.826892
56.0,10,1.83857
56.0,10,1.850084
17.0,10,1.861883
60.0,10,1.873429
57.0,10,1.884557
78.0,10,1.896272
57.0,10,1.907324
57.0,10,1.918433
59.0,10,1.930396
60.0,10,1.945907
119.0,10,1.957289
97.0,10,1.96876
79.0,10,1.980297
57.0,10,1.991339
120.0,10,2.002933
79.0,10,2.014653
99.0,10,2.025766
57.0,10,2.037437
19.0,10,2.049042
121.857143,10,2.064721
55.0,10,2.076398
78.0,10,2.088256
56.0,10,2.099973
116.0,10,2.117366
140.0,10,2.1299
38.0,10,2.141909
57.0,10,2.154276
59.0,10,2.166278
40.0,10,2.177829
59.0,10,2.189279
78.0,10,2.201305
121.666667,10,2.213167
119.666667,10,2.22519
37.0,10,2.236857
80.0,10,2.248792
60.0,10,2.260445
102.0,10,2.272449
98.0,10,2.284197
60.0,10,2.295808
58.0,10,2.307517
98.0,10,2.318981
15.0,10,2.330196
59.0,10,2.341916
80.0,10,2.354347
57.0,10,2.45743
98.0,10,2.469778
120.0,10,17.060811
78.0,10,17.072898
80.0,10,17.084831
58.0,10,17.09671
58.0,10,17.108193
56.0,10,17.119299
36.0,10,17.131457
97.0,10,17.143005
58.0,10,17.1547
98.0,10,17.167049
99.0,10,17.17855
100.0,10,17.190136
39.0,10,17.201749
57.0,10,17.212997
98.0,10,17.225192
96.0,10,17.236898
