#{"t_start": 1742149444.900361, "env_id": "None"}
r,l,t
102.5,2,0.077791
-27.5,14,0.102121
102.5,2,0.107349
133.5,4,0.188797
102.5,2,0.232324
118.0,3,0.249804
102.5,2,0.262703
102.5,2,0.275195
143.0,3,0.289173
118.0,3,0.30258
0.0,1,0.307884
0.0,1,0.313144
-88.5,22,0.396451
-42.5,17,0.418631
0.0,1,0.42191
102.5,2,0.426759
118.0,3,0.432551
88.0,9,0.44725
0.0,1,0.450249
0.0,1,0.45368
0.0,1,0.456615
-12.5,11,0.472641
118.0,3,0.478747
0.0,1,0.481887
102.5,2,0.487601
102.5,2,0.492279
33.5,10,0.508283
-28.5,10,0.523651
102.5,2,0.528233
0.333333,11,0.545895
-28.5,10,0.560311
2.5,8,0.572778
2.0,8,0.584856
102.5,2,0.589338
0.0,1,0.592962
118.0,3,0.599286
-28.5,10,0.615923
-28.5,10,0.631729
-58.5,16,0.654524
0.0,1,0.658673
118.0,3,0.66549
2.5,8,0.677721
-58.5,16,0.701623
118.0,3,0.707418
102.5,2,0.712073
-28.5,10,0.726917
-100.5,31,0.768601
-28.5,10,0.784109
21.333333,11,0.800856
102.5,2,0.805135
0.0,1,0.809284
-43.5,13,0.830523
-42.5,17,0.85821
0.0,1,0.861764
72.0,8,0.874272
102.5,2,0.878795
0.0,1,0.881762
-43.5,13,0.899038
0.0,1,0.902355
102.5,2,0.906671
102.5,2,0.911802
133.0,3,0.918291
118.0,3,0.924757
102.5,2,0.931419
118.0,3,0.94406
-58.5,16,0.969805
0.0,1,0.973209
161.833333,4,0.986426
-34.666667,18,1.019659
-27.5,14,1.046568
102.5,2,1.058408
80.0,13,1.085397
-3.0,12,1.111271
102.5,2,1.121457
102.5,2,1.133487
-12.0,15,1.163048
-12.5,11,1.183027
2.5,8,1.201309
-58.5,16,1.227946
118.0,3,1.239478
-43.5,13,1.263962
0.0,1,1.268012
-12.5,11,1.289534
102.5,2,1.300364
118.0,3,1.315448
-43.5,13,1.341552
118.0,3,1.355023
0.0,1,1.360554
174.833333,6,1.38149
118.0,3,1.396437
-58.5,16,1.423608
0.0,1,1.427152
-28.5,10,1.445864
102.5,2,1.458838
-9.666667,13,1.503879
0.0,1,1.508779
102.5,2,1.5206
-28.5,10,1.540192
118.0,3,1.552458
0.0,1,1.558252
0.0,1,1.561728
102.5,2,1.57447
102.5,6,1.593468
33.0,6,1.612752
102.5,2,1.623616
-13.0,14,1.648859
0.0,1,1.652066
0.0,1,1.655215
0.0,1,1.659779
-58.5,16,1.686808
0.0,1,1.691985
-28.5,10,1.710074
118.0,3,1.722507
0.0,1,1.729239
-28.5,10,1.749852
146.833333,4,1.763446
118.0,3,1.777349
-28.5,10,1.797913
-43.5,13,1.816715
0.0,1,1.820005
103.0,6,1.831958
129.333333,8,1.845948
57.0,11,1.864304
75.333333,10,1.888153
102.5,2,1.892956
113.0,4,1.901245
-28.5,10,1.917662
102.5,2,1.927402
-28.5,10,1.948239
0.0,1,1.951881
0.0,1,1.955866
102.5,2,1.960775
-19.666667,15,1.985772
33.0,6,1.996527
102.5,2,2.002447
102.5,2,2.008175
-43.5,13,2.027463
-28.5,10,2.043511
146.833333,5,2.053319
118.0,3,2.059144
118.0,3,2.066278
2.5,8,2.083563
38.666667,17,2.108828
-12.5,11,2.126661
-28.5,10,2.141065
-12.5,11,2.159122
-43.5,13,2.177802
-12.5,11,2.197519
-12.5,11,2.212976
102.5,2,2.217644
102.5,2,2.221848
0.0,1,2.224856
102.5,2,2.229565
-12.5,11,2.245509
-43.5,13,2.264379
-43.5,13,2.283981
2.5,8,2.29707
102.5,2,2.301652
0.0,1,2.304596
-12.5,11,11.634317
0.0,1,11.638215
118.0,3,11.644589
73.0,12,11.662883
118.0,3,11.66894
102.5,2,11.673337
102.5,2,11.67822
102.5,2,11.682965
143.0,3,11.688792
-28.5,10,11.704263
102.5,2,11.708693
0.0,1,11.711923
118.0,3,11.717968
118.0,3,11.723971
-28.5,10,11.738653
-28.5,10,11.753676
0.0,1,11.756953
0.0,1,11.759894
-12.5,11,11.779098
-58.5,16,11.800131
102.5,2,11.805037
102.5,2,11.809366
102.5,2,11.814122
102.5,2,11.819491
118.0,3,11.825604
-28.5,10,11.840546
133.5,4,11.849801
-28.5,10,11.864825
102.5,2,11.869757
-12.5,15,11.893211
-28.5,10,11.909276
118.0,3,11.9159
-27.5,14,11.937072
-33.0,15,11.957871
102.5,2,11.962465
118.0,3,11.968879
2.5,8,11.981466
2.5,8,11.993793
-43.5,13,12.012777
2.5,8,12.026667
118.0,3,12.032951
-58.5,16,12.054118
-28.0,14,12.073045
0.0,1,12.076464
0.0,1,12.079644
-43.5,13,12.096972
-88.5,22,12.125676
102.5,2,12.130558
115.833333,7,12.142343
102.5,2,12.147058
-28.5,10,12.161669
17.0,8,12.174957
48.5,7,12.187932
18.0,9,12.20259
-43.5,13,12.22056
3.0,12,12.239925
102.5,2,12.244661
118.0,3,12.250652
0.0,1,12.2537
0.0,1,12.25711
3.0,12,12.274931
102.5,2,12.279759
-27.5,14,12.299726
102.5,2,12.304292
102.5,2,12.308752
0.0,1,12.311843
-28.5,10,12.327512
28.0,7,12.338375
118.0,3,12.344265
156.833333,5,12.352881
0.0,1,12.356085
88.0,9,12.371731
133.0,3,12.378885
118.0,3,12.385103
-43.5,13,12.405535
85.333333,8,12.418638
102.5,2,12.423032
102.5,2,12.427483
118.0,3,12.433521
-12.0,15,12.455221
118.0,3,12.462019
0.0,1,12.465586
-43.5,13,12.484984
-12.5,11,12.502526
-28.5,10,12.517317
118.0,3,12.524086
18.0,9,12.537334
118.0,3,12.543343
102.5,2,12.548046
-12.5,11,12.563511
0.333333,11,12.578955
-43.5,13,12.597072
0.0,1,12.600394
118.0,3,12.605899
0.0,1,12.609449
75.333333,10,12.624632
10.0,13,12.643826
33.0,6,12.654368
102.5,2,12.659297
118.0,3,12.665552
18.0,9,12.679879
102.5,2,12.684592
102.5,2,12.689103
0.0,1,12.692181
-43.5,13,12.711392
0.0,1,12.714657
118.0,3,12.72027
-58.5,16,12.743814
-43.5,13,12.762263
102.5,2,12.766649
0.0,1,12.77044
102.5,2,12.775396
-28.5,10,12.790026
2.5,8,12.802639
-28.5,10,12.817269
3.0,12,12.83478
102.5,2,12.839295
133.0,3,12.844769
102.5,2,12.848989
12.0,9,12.861595
-28.5,10,12.885458
118.0,3,12.892526
118.0,3,12.899147
102.5,2,12.904061
-8.0,13,12.922168
118.0,3,12.928351
118.0,3,12.934716
0.0,1,12.938216
-28.5,10,12.953781
102.5,2,12.958523
118.0,3,12.964662
145.0,13,12.984539
0.0,1,12.988215
133.5,4,12.996491
2.0,8,13.008643
102.5,2,13.013147
33.5,10,13.027876
-28.5,10,13.041607
0.0,1,13.045312
133.5,4,13.053274
102.5,2,13.057669
102.5,2,13.062117
133.5,4,13.069567
118.0,3,13.075409
44.0,16,13.096913
0.0,1,13.100692
-27.5,14,13.122357
102.5,2,13.127173
22.5,8,13.140002
0.0,1,13.14344
0.0,1,13.146576
151.833333,4,13.153541
118.0,3,13.159679
-43.5,13,13.177653
-43.5,13,13.197315
16.333333,12,13.213212
85.333333,8,13.225761
102.5,2,13.230526
33.666667,18,13.257248
-58.5,16,13.279082
102.5,2,13.283719
102.5,2,13.288103
-43.5,13,13.308118
33.0,6,13.31951
102.5,2,13.324311
0.0,1,13.327742
33.0,9,22.667033
-58.5,16,22.688427
102.5,2,22.693099
118.0,3,22.698891
0.0,1,22.702344
-57.5,20,22.730914
118.0,3,22.736566
2.5,8,22.750078
118.0,3,22.756822
33.0,6,22.766374
0.0,1,22.769531
102.5,2,22.773985
118.0,3,22.779688
-28.5,10,22.793149
0.0,1,22.796591
-27.5,14,22.816432
0.0,1,22.819691
102.5,2,22.824287
2.5,8,22.835807
0.0,1,22.838682
118.0,3,22.844376
-28.5,10,22.858516
0.0,1,22.861783
58.0,6,22.872433
102.5,2,22.877376
118.0,3,22.883447
118.0,3,22.89089
102.5,2,22.89555
118.0,3,22.901945
102.5,2,22.906783
12.0,9,22.920787
33.0,6,22.932421
102.5,2,22.938813
-73.5,19,22.968667
0.0,1,22.972486
-12.5,11,22.98892
102.5,2,22.993702
102.5,2,22.999127
18.0,9,23.012371
43.0,7,23.024623
102.5,2,23.029562
-43.5,13,23.047021
-28.5,10,23.062376
118.0,3,23.069588
-43.5,13,23.088747
118.0,3,23.095067
-43.5,13,23.113884
118.0,3,23.120125
-42.5,17,23.145011
-18.0,12,23.16404
102.5,2,23.168877
118.0,3,23.174208
-28.5,10,23.189626
-27.5,14,23.210266
-42.5,17,23.234732
133.0,3,23.241101
-58.5,16,23.263644
-43.5,13,23.282255
-28.5,10,23.297139
-43.5,13,23.316147
118.0,3,23.322343
-43.5,13,23.340775
-28.5,10,23.354726
118.0,3,23.360738
2.5,8,23.374182
-84.666667,28,23.411788
118.0,3,23.417839
102.5,2,23.422629
118.0,3,23.429605
-43.5,13,23.448813
102.5,2,23.453798
-43.5,13,23.475318
118.0,3,23.482612
118.0,3,23.489636
102.5,2,23.494253
-43.5,13,23.51299
-13.0,11,23.528176
102.5,2,23.532688
102.5,2,23.537143
-28.5,10,23.551368
102.5,2,23.556182
33.0,6,23.565941
0.0,1,23.569788
102.5,2,23.575913
-28.5,10,23.591058
3.0,12,23.608317
-28.5,10,23.625527
118.0,3,23.631727
-57.5,20,23.660194
71.833333,8,23.673313
-14.666667,14,23.692525
118.0,3,23.699274
-43.5,13,23.718667
118.0,3,23.725505
-28.5,10,23.741866
102.5,2,23.746907
-4.666667,12,23.764624
118.0,3,23.771078
0.0,1,23.774592
-2.5,9,23.788637
118.0,3,23.794755
102.5,2,23.799168
0.0,1,23.802167
-43.5,13,23.820266
118.0,3,23.826295
118.0,3,23.832055
-43.5,13,23.850016
118.0,3,23.856059
0.0,1,23.859647
-28.5,10,23.87503
0.0,1,23.878206
102.5,2,23.882816
0.0,1,23.886059
2.5,12,23.902595
102.5,2,23.907354
75.333333,10,23.922928
2.5,8,23.935677
33.0,6,23.94495
-43.5,13,23.962711
118.0,3,23.96994
102.5,2,23.974793
-28.5,10,23.989477
-43.0,17,24.013037
2.5,8,24.027244
-28.5,10,24.044055
-28.5,10,24.058884
100.166667,13,24.07858
118.0,3,24.084222
-58.5,16,24.106448
-28.5,10,24.121431
118.0,3,24.128746
118.0,3,24.135182
-12.5,11,24.151075
118.0,3,24.15795
0.0,1,24.161139
-28.5,10,24.17522
118.0,3,24.181249
118.0,3,24.186792
0.0,1,24.190198
0.0,1,24.193142
118.0,3,24.199497
0.0,1,24.202809
118.0,3,24.208287
-28.5,10,24.222236
0.0,1,24.225539
118.0,3,24.231968
102.5,2,24.236996
118.0,3,24.243054
102.5,2,24.247428
88.0,9,24.261556
-28.5,10,24.277417
102.5,2,24.282014
118.0,3,24.288202
118.0,3,24.293951
113.0,4,24.301785
-28.5,10,24.317346
48.5,7,24.329044
2.5,8,33.588549
118.0,3,33.595067
0.0,1,33.598566
-28.5,10,33.613754
118.0,3,33.619809
-28.5,10,33.634091
102.5,2,33.639535
0.0,1,33.644014
-28.5,10,33.659489
-58.5,16,33.682069
-28.5,10,33.696778
118.0,3,33.702474
118.0,3,33.708166
48.5,7,33.721643
0.0,1,33.725231
-2.5,9,33.739368
102.5,2,33.744247
-43.5,13,33.761705
0.0,1,33.765255
118.0,3,33.771263
102.5,2,33.776292
0.0,1,33.780637
118.0,3,33.787212
-28.5,10,33.801537
17.0,8,33.815651
-28.5,10,33.830907
102.5,2,33.835386
0.0,1,33.838441
118.0,3,33.844337
2.5,8,33.857088
102.5,2,33.862252
133.0,8,33.877028
118.0,3,33.883912
67.0,9,33.898539
0.0,1,33.903852
151.833333,4,33.912763
-28.5,10,33.927967
0.0,1,33.931237
118.0,3,33.937246
118.0,3,33.944368
118.0,3,33.950072
118.0,3,33.95653
5.5,14,33.976627
18.0,9,33.992157
118.0,3,33.99896
118.0,3,34.005387
0.0,1,34.008476
0.0,1,34.011286
0.0,1,34.014248
0.0,1,34.017322
2.5,8,34.029293
118.0,3,34.03502
-43.5,13,34.05211
0.0,1,34.055289
-58.5,16,34.076701
102.5,2,34.081221
102.5,2,34.085478
33.0,6,34.095171
0.0,1,34.098706
118.0,3,34.104902
102.5,2,34.109397
118.0,3,34.115718
118.0,3,34.12149
-28.5,10,34.135855
-43.5,13,34.154327
118.0,3,34.161212
-28.5,10,34.176582
-88.5,22,34.205717
118.0,3,34.212266
118.0,3,34.21788
0.0,1,34.221255
118.0,3,34.227761
0.0,1,34.231142
187.333333,6,34.242097
87.5,9,34.254944
102.5,2,34.25966
118.0,3,34.265696
118.0,3,34.271871
102.5,2,34.276745
-28.5,10,34.291565
0.0,1,34.2947
118.0,3,34.300689
0.0,1,34.303898
72.0,8,34.315749
18.0,9,34.330233
118.0,3,34.3366
-28.5,10,34.352761
0.0,1,34.356147
2.5,8,34.368847
159.833333,6,34.379431
2.5,8,34.391202
18.0,9,34.404895
0.0,1,34.408779
-13.0,11,34.427153
118.0,3,34.433299
-28.5,10,34.449212
102.5,2,34.455129
118.0,3,34.462102
0.0,1,34.466296
-15.5,14,34.486623
-10.0,17,34.508852
-88.5,22,34.538193
0.0,1,34.54123
113.0,4,34.548625
0.0,1,34.55175
0.0,1,34.554833
102.5,2,34.559236
0.0,1,34.562731
123.5,6,34.573062
2.5,8,34.585992
102.5,2,34.590894
102.5,2,34.595061
0.0,1,34.598341
0.0,1,34.601726
118.0,3,34.607341
128.5,5,34.61593
-57.5,20,34.642442
-73.5,19,34.668793
118.0,3,34.675137
0.0,1,34.678551
102.5,2,34.683037
0.0,1,34.686321
118.0,3,34.692359
0.0,1,34.696246
-42.5,17,34.719473
2.0,8,34.731033
0.0,1,34.734251
0.0,1,34.737644
2.5,8,34.752399
-12.5,11,34.769002
-73.5,19,34.794607
0.0,1,34.797639
118.0,3,34.803995
102.5,2,34.809416
118.0,3,34.815995
-88.5,22,34.848444
102.5,2,34.853182
-2.5,13,34.873495
118.0,3,34.880157
-28.5,10,34.895148
0.0,1,34.89857
-12.5,11,34.914338
118.0,3,34.920614
118.0,3,34.926424
118.0,3,34.933203
17.5,9,34.946523
118.0,3,34.952055
118.0,3,34.958611
118.0,3,34.964594
118.0,3,34.970761
102.5,2,34.975218
-28.5,10,34.989299
0.0,1,34.992715
0.0,1,34.996126
118.0,3,35.00262
-28.5,10,35.01769
-12.5,11,35.034465
75.333333,10,35.047798
