#{"t_start": 1742179262.8516219, "env_id": "None"}
r,l,t
20.0,1,0.112852
20.0,1,0.117344
68.5,7,0.189045
22.5,8,0.23419
20.0,1,0.239274
138.0,3,0.251616
84.5,12,0.304233
20.0,1,0.307348
-23.5,13,0.354528
20.0,1,0.362379
-22.5,17,0.395663
-8.5,10,0.40814
122.5,2,0.412234
138.0,3,0.417503
122.5,2,0.421855
138.0,3,0.427223
138.0,3,0.432952
17.0,12,0.448015
122.5,2,0.45208
-35.571429,26,0.484633
138.0,3,0.490509
20.0,1,0.493472
-8.5,10,0.506293
153.0,3,0.511746
122.5,2,0.515924
138.0,3,0.521351
-23.5,13,0.538091
92.0,8,0.550375
138.5,7,0.561373
84.5,12,0.576868
20.0,1,0.579782
-53.5,19,0.603516
-8.5,10,0.616774
138.0,3,0.622339
-68.5,22,0.647981
-5.5,16,0.667726
122.5,2,0.672057
7.5,11,0.687524
20.0,1,0.690569
22.5,8,0.702018
138.0,3,0.707445
-23.5,13,0.7246
138.0,3,0.730518
154.333333,7,0.740705
-8.5,10,0.753088
122.5,2,0.75721
-23.5,13,0.773942
122.5,2,0.778093
138.0,3,0.783848
138.0,3,0.789465
-23.5,13,0.806222
7.5,11,0.820782
25.5,14,0.838657
138.0,3,0.845233
122.5,2,0.849331
7.5,11,0.864184
122.5,2,0.868474
138.0,3,0.873893
68.0,6,0.882582
122.5,2,0.886648
74.833333,13,0.904463
122.5,2,0.908527
122.5,2,0.912813
-8.5,10,0.925824
-8.5,10,0.938425
20.0,1,0.941672
2.0,15,0.960272
105.333333,8,0.971111
138.0,3,0.976779
-23.5,13,0.992593
-38.5,16,1.012966
153.0,3,1.018828
22.5,8,4.569639
-53.5,19,4.594091
122.5,2,4.598577
20.0,1,4.601857
-8.5,10,4.614454
-23.5,13,4.632086
89.5,11,4.645959
126.333333,8,4.657663
-23.5,13,4.674809
122.5,2,4.679304
-8.5,10,4.693628
12.0,13,4.711312
20.0,1,4.714232
138.0,3,4.719688
-38.5,16,4.739263
138.0,3,4.745146
153.0,3,4.750889
138.0,3,4.75641
138.0,3,4.761972
122.5,2,4.766156
138.0,3,4.771677
20.0,1,4.774404
122.5,2,4.778474
38.0,9,4.790834
-23.5,13,4.807766
-37.5,20,4.833475
122.5,2,4.837854
138.0,3,4.843351
-8.5,10,4.855816
20.0,1,4.858603
-0.5,15,4.876521
20.0,1,4.879905
20.0,1,4.882751
122.5,2,4.887151
133.0,4,4.89587
122.5,2,4.900089
20.0,1,4.903194
-22.5,17,4.924158
122.5,2,4.928507
20.0,1,4.931427
122.5,2,4.935555
138.0,3,4.940889
138.0,3,4.946709
138.0,3,4.952192
7.5,11,4.96642
138.0,3,4.971947
22.5,8,4.983487
153.5,4,4.990821
37.5,9,5.003305
138.0,3,5.008499
138.0,3,5.013852
138.0,3,5.019434
153.0,3,5.024802
20.0,1,5.028018
-8.5,10,5.041299
138.0,3,5.04683
122.5,2,5.051227
138.0,3,5.056492
53.0,6,5.065435
-8.5,10,5.078394
153.0,3,5.083696
53.0,6,5.092324
20.0,1,5.09595
22.0,8,5.107423
133.0,11,5.122613
138.0,3,5.128059
20.0,1,5.130914
5.333333,14,5.149743
-8.5,10,5.162909
153.5,4,5.169689
20.0,1,5.172618
138.0,3,5.178004
-23.5,13,5.194112
138.0,3,5.200461
138.0,3,5.205946
20.0,1,5.209215
133.0,4,5.215626
22.5,8,5.226095
20.0,1,5.229358
122.5,2,5.233446
22.5,8,5.244486
-8.5,10,5.257769
20.0,1,5.260832
-38.5,16,5.280374
-23.5,13,5.296634
-23.5,13,5.314932
138.0,3,5.32036
20.0,1,5.323559
122.5,2,5.327686
22.5,8,8.783817
-8.5,10,8.797618
22.5,12,8.814336
138.0,3,8.820069
138.0,3,8.825389
138.0,3,8.830569
138.0,3,8.835947
20.0,1,8.838814
122.5,2,8.843211
-8.0,14,8.862037
53.0,6,8.871977
122.5,2,8.876105
122.5,2,8.880383
138.0,3,8.885859
122.5,2,8.889993
122.5,2,8.894
-8.5,10,8.906885
138.0,3,8.91239
-23.5,13,8.928341
138.0,3,8.934316
122.5,2,8.939458
138.0,3,8.945185
122.5,2,8.94935
-5.5,16,8.970594
22.5,8,8.982131
20.0,1,8.984937
-8.5,10,8.997749
-55.75,30,9.033057
20.0,1,9.035774
16.833333,21,9.061325
122.5,2,9.065499
20.0,1,9.06833
-53.5,19,9.09292
20.0,1,9.096241
138.0,3,9.10181
22.0,11,9.116057
138.0,3,9.121631
122.5,2,9.126292
122.5,2,9.130433
-8.5,10,9.143541
110.5,11,9.158785
22.5,8,9.170482
122.5,2,9.174715
113.333333,11,9.18997
20.0,1,9.193219
-23.5,13,9.209962
-7.5,14,9.227633
7.5,11,9.241354
-4.666667,16,9.261613
133.0,4,9.268531
20.0,1,9.27141
138.0,3,9.276809
138.0,3,9.282448
22.5,8,9.294383
122.5,2,9.298539
-23.5,13,9.316639
138.0,3,9.322286
122.5,2,9.326667
7.5,11,9.341895
22.0,8,9.354087
48.0,7,9.364339
20.0,1,9.36706
123.0,6,9.376243
122.5,2,9.380577
89.5,11,9.396905
122.5,2,9.401068
20.0,1,9.403904
37.0,8,9.415029
37.5,9,9.426939
20.0,1,9.430291
138.0,3,9.435685
126.333333,8,9.446807
122.5,2,9.450789
48.666667,19,9.475747
138.0,3,9.481092
20.0,1,9.483798
20.0,1,9.486427
138.0,3,9.492036
138.0,3,9.497243
-8.5,10,9.510222
-8.5,10,9.522933
138.0,3,9.528117
-8.5,10,13.165048
22.5,8,13.177702
-53.5,19,13.201271
23.0,12,13.216965
-37.5,20,13.241719
138.0,3,13.246917
122.5,2,13.251286
-23.5,13,13.267425
20.0,1,13.270752
-8.5,10,13.283254
20.0,1,13.286555
-8.5,10,13.299717
22.5,8,13.311291
41.333333,11,13.325246
-7.5,14,13.342344
-8.5,10,13.355106
53.0,6,13.364519
-8.5,10,13.377375
20.0,1,13.380114
20.0,1,13.383243
20.0,1,13.385966
-37.5,24,13.415763
-23.5,13,13.432957
148.5,5,13.441039
-8.5,10,13.454035
138.0,3,13.459295
20.0,1,13.462441
22.5,8,13.47467
153.0,3,13.480048
20.0,1,13.482857
122.5,2,13.487187
138.0,3,13.492562
138.0,3,13.497805
20.0,1,13.500833
138.0,3,13.506747
122.5,2,13.511185
171.833333,4,13.51827
53.0,6,13.527763
122.5,2,13.532296
138.0,3,13.53765
20.0,1,13.540754
20.0,1,13.54351
138.0,3,13.548854
20.0,1,13.551545
20.0,1,13.554711
-30.333333,25,13.582134
20.0,1,13.585149
20.0,1,13.588095
-8.5,10,13.601076
20.0,1,13.60378
138.0,3,13.609511
138.0,3,13.614711
122.5,2,13.618632
-38.5,16,13.6377
20.0,1,13.640593
-38.5,16,13.660633
138.0,3,13.666105
20.0,1,13.66937
122.5,2,13.673548
53.0,6,13.682905
138.0,3,13.688381
138.0,3,13.694835
138.0,3,13.70054
64.0,16,13.720803
-7.5,14,13.739759
53.5,10,13.754045
122.5,2,13.758186
20.0,1,13.761353
122.5,2,13.765936
138.0,3,13.771331
22.5,8,13.781916
-38.5,16,13.802285
122.5,2,13.806444
20.0,1,13.809635
20.0,1,13.813036
20.0,1,13.815779
-23.5,13,13.832467
89.5,11,13.887369
138.0,3,13.893194
122.5,2,13.89744
20.0,1,13.900518
20.0,1,13.903373
138.0,3,13.908641
138.0,3,13.914087
-23.5,13,13.932059
22.5,8,13.944614
138.0,3,13.950702
138.0,3,13.956797
122.5,2,17.470641
20.0,1,17.474121
138.0,3,17.479773
138.0,3,17.48526
