#{"t_start": 1741699423.485919, "env_id": "None"}
r,l,t
82.857143,5,0.88973
20.0,2,0.89803
20.0,2,0.906908
40.0,5,0.92572
20.0,2,0.929184
105.0,5,0.943533
105.0,5,0.965616
20.0,2,0.981727
40.0,5,0.994272
40.0,5,1.016757
20.0,2,1.023289
20.0,2,1.026732
20.0,2,1.032795
20.0,2,1.056825
40.0,6,1.091384
84.0,4,1.138293
60.0,4,1.146715
20.0,6,1.156368
20.0,4,1.161878
20.0,2,1.165
20.0,2,1.168169
20.0,2,1.171194
60.0,5,1.17768
20.0,2,1.180831
20.0,2,1.184898
20.0,2,1.187994
20.0,2,1.190941
40.0,7,1.199625
105.714286,6,1.207103
20.0,4,1.212238
62.5,3,1.216514
60.0,8,1.226226
105.714286,6,1.234034
20.0,2,1.237089
20.0,4,1.242176
40.0,5,1.24878
40.0,5,1.254945
20.0,2,1.257957
20.0,2,1.260948
20.0,5,1.26733
20.0,7,1.27625
20.0,2,1.279333
64.0,4,1.284698
20.0,2,1.287712
105.714286,6,1.295156
84.0,4,1.300671
20.0,2,1.303747
61.666667,4,1.308945
40.0,4,1.314259
40.0,6,1.322271
40.0,4,1.327672
20.0,2,1.330732
40.0,5,1.337024
40.0,6,1.34433
60.0,6,1.351814
20.0,2,1.354814
20.0,4,1.360075
40.0,5,1.366432
20.0,2,1.369371
80.0,8,1.379216
20.0,2,1.382208
20.0,2,1.385139
20.0,2,1.388193
65.0,2,1.391359
20.0,2,1.394399
40.0,6,1.401903
85.714286,6,1.409372
20.0,2,1.412491
20.0,6,1.419758
86.666667,3,1.424012
60.0,9,1.434709
20.0,2,1.437651
20.0,2,1.440566
60.0,6,1.447912
20.0,2,1.451096
62.5,3,1.455281
20.0,4,1.460347
40.0,9,1.471437
60.0,5,1.477797
64.444444,7,1.48614
40.0,7,1.494599
20.0,4,1.499873
20.0,2,1.502806
60.0,8,1.512469
84.0,4,1.517745
20.0,6,1.525092
40.0,5,1.531277
20.0,2,1.53424
20.0,8,1.543766
20.0,2,1.546697
105.0,5,1.553614
20.0,6,1.561926
20.0,2,1.564922
65.714286,6,1.572443
20.0,2,1.575521
40.0,8,1.585219
65.0,2,1.58827
60.0,5,1.595515
20.0,2,1.598522
20.0,2,1.601456
40.0,5,1.607652
20.0,2,1.610641
20.0,2,1.613601
84.0,4,1.618789
20.0,2,1.621717
124.444444,7,1.630173
80.0,5,1.636645
20.0,2,1.647869
40.0,5,1.654491
62.5,3,1.658456
20.0,4,1.663811
40.0,6,1.671201
61.666667,4,1.676587
65.0,2,1.679464
20.0,2,1.682432
20.0,2,1.685339
40.0,5,1.691659
20.0,4,1.696908
65.0,2,1.700064
20.0,2,1.703102
20.0,2,1.706139
80.0,6,1.71389
80.0,8,1.723658
84.0,4,1.729004
20.0,5,1.735234
40.0,5,1.741727
20.0,2,1.744769
65.0,2,1.747927
60.0,7,1.756538
40.0,5,1.762712
20.0,4,1.767924
20.0,2,1.771008
20.0,2,1.774018
40.0,6,1.781444
40.0,4,1.786739
20.0,2,1.789813
84.444444,7,1.798355
20.0,2,1.801355
20.0,4,1.806887
61.666667,4,1.812116
20.0,2,1.815265
20.0,4,1.820451
61.666667,4,1.825745
20.0,2,1.828763
20.0,2,1.831639
20.0,2,1.834586
20.0,2,1.837879
20.0,2,1.841077
65.0,2,1.844167
60.0,4,1.849448
20.0,2,1.852578
20.0,5,1.858839
20.0,2,1.861929
20.0,2,1.8649
65.0,2,1.867878
20.0,2,1.870778
40.0,6,1.878048
65.0,2,1.8812
20.0,2,1.884215
20.0,2,1.887249
84.0,4,1.892576
65.0,2,1.895649
65.0,2,1.898786
40.0,5,1.904939
82.857143,5,1.911417
20.0,2,1.914373
40.0,5,1.920676
20.0,2,1.923653
20.0,2,1.926532
40.0,8,1.936
40.0,4,1.941157
103.75,6,1.948554
20.0,4,1.953754
20.0,2,1.956762
60.0,5,1.963258
40.0,6,1.971004
20.0,2,1.974024
82.857143,5,1.980429
60.0,6,1.987702
40.0,5,1.993886
20.0,3,1.998061
61.666667,4,2.003392
20.0,2,2.006497
20.0,4,2.011628
20.0,2,2.01455
20.0,3,2.018679
82.222222,6,2.02597
20.0,6,2.033226
61.666667,4,2.038385
85.0,5,2.045185
20.0,2,2.048181
40.0,6,2.055791
103.75,6,2.063561
20.0,2,2.066886
125.714286,6,2.074367
62.5,3,2.078754
20.0,2,2.081996
20.0,2,2.084984
40.0,5,2.091218
40.0,4,2.096338
20.0,7,2.104927
40.0,9,2.11559
60.0,5,2.122096
40.0,4,2.127374
20.0,2,2.13042
61.666667,4,2.135833
20.0,2,2.138732
20.0,3,2.142996
85.0,5,2.149234
40.0,5,2.155486
20.0,2,2.15843
80.0,6,2.166092
65.0,2,2.168991
82.857143,5,2.175432
60.0,5,2.181791
20.0,7,2.190261
60.0,7,2.198795
20.0,2,2.201827
62.222222,6,2.209104
40.0,6,2.216364
60.0,9,2.227001
60.0,5,2.233202
20.0,2,2.23622
84.0,4,2.241482
40.0,6,2.248795
65.0,2,2.251881
20.0,2,2.254982
85.714286,6,2.262329
61.666667,4,2.267573
20.0,2,2.270753
20.0,5,2.277124
20.0,2,2.280131
80.0,8,2.290078
20.0,4,2.295359
65.0,2,2.298388
60.0,5,2.304665
40.0,4,2.309974
62.5,3,2.314154
40.0,5,2.32027
20.0,2,2.323289
20.0,2,2.326302
20.0,4,2.331309
20.0,3,2.335387
