#{"t_start": 1742148783.523521, "env_id": "None"}
r,l,t
5.0,1,0.118284
30.0,2,0.146897
35.0,3,0.16406
0.0,6,0.210986
35.0,3,0.226675
35.0,3,0.243178
30.0,2,0.252789
5.0,1,0.260509
30.0,2,0.275156
5.0,1,0.281356
5.0,1,0.284755
-5.0,11,0.343336
0.0,6,0.384661
5.0,1,0.387772
35.0,3,0.394596
35.0,3,0.400621
5.0,1,0.40374
0.0,6,0.412544
30.0,2,0.417048
-15.0,9,0.4323
-35.0,17,0.474361
30.0,2,0.4795
0.0,6,0.490839
5.0,1,0.494934
35.0,3,0.501228
-60.0,18,0.523372
0.0,6,0.533664
30.0,4,0.540929
0.0,6,0.549908
30.0,2,0.554515
30.0,2,0.559271
-30.0,12,0.575305
0.0,6,0.584331
-15.0,9,0.596631
-15.0,9,0.609797
-60.0,18,0.632423
-125.0,31,0.66884
30.0,2,0.673718
30.0,2,0.678293
0.0,6,0.687838
-15.0,9,0.701454
5.0,1,0.704983
35.0,3,0.710845
0.0,6,0.720875
5.0,1,0.723981
35.0,3,0.729495
5.0,1,0.733042
10.0,8,0.744462
0.0,6,0.752893
10.0,8,0.764678
0.0,6,0.774561
30.0,2,0.77929
0.0,6,0.788524
-15.0,9,0.801523
-15.0,9,0.813672
5.0,1,0.816644
0.0,6,0.825515
-90.0,24,0.855226
30.0,2,0.859585
-15.0,9,0.872811
5.0,1,0.876331
30.0,2,0.880506
30.0,2,0.884973
0.0,6,0.89529
0.0,6,0.911869
35.0,3,0.924633
-5.0,11,0.951025
-75.0,21,0.987663
-5.0,7,1.005187
0.0,6,1.022784
0.0,6,1.041126
-30.0,12,1.065361
-45.0,15,1.093406
30.0,2,1.103505
35.0,3,1.118487
30.0,2,1.130504
5.0,9,1.155089
5.0,1,1.163467
-15.0,9,1.18595
-15.0,9,1.206446
-15.0,9,1.227427
5.0,1,1.235508
30.0,2,1.247426
-15.0,9,1.269044
5.0,1,1.277435
-15.0,9,1.300021
5.0,1,1.307556
5.0,1,1.316521
30.0,2,1.326471
35.0,3,1.345371
30.0,2,1.357453
35.0,3,1.372622
35.0,3,1.385412
0.0,6,1.403519
35.0,3,1.415753
-15.0,9,1.437516
35.0,3,1.451624
-15.0,9,1.471402
0.0,6,1.489365
5.0,1,1.497605
30.0,2,1.509587
48.333333,5,1.531843
5.0,1,1.541667
-15.0,9,1.562072
30.0,2,1.574556
5.0,1,1.583368
35.0,3,1.598376
-30.0,12,1.622321
35.0,3,1.634477
30.0,2,1.644435
30.0,2,1.65436
5.0,1,1.661779
-30.0,12,1.688418
0.0,6,1.70545
0.0,6,1.723039
-45.0,15,1.751918
30.0,2,1.761382
22.0,10,1.793438
0.0,6,1.812273
35.0,3,1.822931
5.0,1,1.829873
0.0,6,1.839444
-15.0,9,1.8527
0.0,6,1.861917
5.0,1,1.865337
35.0,3,1.87131
-15.0,9,1.884006
0.0,6,1.893536
5.0,1,1.896548
-40.0,18,1.919727
-15.0,9,1.934536
0.0,6,1.944317
30.0,2,1.954402
-15.0,9,1.972967
53.333333,4,1.98091
35.0,3,1.986944
35.0,3,1.993204
35.0,3,2.006629
0.0,6,2.016182
0.0,6,2.025603
0.0,6,2.034604
30.0,2,2.039233
35.0,3,2.04513
0.0,6,2.053807
35.0,3,2.05954
0.0,6,2.068578
5.0,1,2.071937
5.0,1,2.075444
-30.0,12,2.09727
5.0,1,2.100466
5.0,1,2.103414
0.0,6,2.11317
0.0,6,2.12254
30.0,2,2.126907
35.0,3,2.132722
5.0,1,2.135793
0.0,6,2.145517
5.0,1,2.14864
0.0,6,2.157457
5.0,1,2.160582
30.0,2,2.164811
30.0,2,2.169283
30.0,2,2.173793
30.0,4,2.180578
-15.0,9,2.192545
0.0,6,2.201408
-30.0,12,2.21749
30.0,2,2.222085
0.0,6,2.231102
-15.0,9,2.243331
-15.0,9,2.256698
-15.0,9,2.268605
-15.0,9,2.282194
-5.0,7,2.29168
35.0,3,2.297479
0.0,6,2.306575
-15.0,9,2.319875
30.0,2,2.324167
5.0,1,2.327638
-15.0,9,2.340173
0.0,6,2.349707
0.0,6,2.359399
0.0,6,2.368927
0.0,6,2.377767
30.0,2,2.381962
35.0,3,2.38819
-75.0,21,2.415047
35.0,3,2.420884
0.0,6,10.109371
30.0,2,10.114184
-5.0,7,10.124692
0.0,6,10.133611
0.0,6,10.142183
25.0,3,10.147389
-15.0,9,10.159812
30.0,2,10.164227
-30.0,12,10.179865
0.0,6,10.188597
35.0,3,10.193887
5.0,1,10.196812
-45.0,15,10.215971
35.0,3,10.222187
0.0,6,10.231051
35.0,3,10.237126
-15.0,9,10.249766
0.0,6,10.258912
0.0,6,10.267419
5.0,1,10.270674
48.333333,5,10.278355
35.0,3,10.284568
5.0,1,10.287763
30.0,2,10.291732
30.0,2,10.295874
-30.0,12,10.310632
30.0,2,10.315284
35.0,3,10.320882
35.0,3,10.326843
5.0,1,10.329967
0.0,6,10.339706
5.0,1,10.343305
-15.0,9,10.355638
30.0,2,10.360031
5.0,9,10.373401
30.0,2,10.377342
0.0,10,10.39255
35.0,3,10.398745
30.0,2,10.403413
35.0,3,10.409396
30.0,2,10.414048
-15.0,9,10.426714
-15.0,9,10.439043
0.0,6,10.454205
0.0,6,10.463138
-30.0,12,10.478502
35.0,3,10.484038
0.0,6,10.492792
-15.0,9,10.505402
-45.0,15,10.524044
0.0,6,10.53314
-30.0,12,10.550077
-15.0,9,10.56362
30.0,2,10.567934
35.0,3,10.573286
35.0,3,10.579658
-30.0,12,10.595254
-60.0,18,10.617919
22.0,10,10.632208
30.0,2,10.636675
0.0,6,10.645907
35.0,3,10.651346
-30.0,12,10.66785
35.0,3,10.673348
30.0,2,10.677344
30.0,4,10.68422
5.0,1,10.687289
5.0,1,10.69049
0.0,6,10.69946
48.333333,5,10.707309
0.0,6,10.716173
35.0,3,10.721805
-15.0,9,10.733863
30.0,2,10.738534
35.0,3,10.744799
30.0,2,10.749849
-60.0,18,10.774097
-15.0,9,10.789691
35.0,3,10.797346
5.0,1,10.801552
5.0,1,10.805408
35.0,3,10.812068
0.0,6,10.823855
30.0,2,10.829467
0.0,6,10.839692
0.0,6,10.848947
30.0,2,10.854271
30.0,2,10.858908
30.0,2,10.863862
5.0,1,10.867677
0.0,6,10.876419
-15.0,9,10.889018
0.0,6,10.89853
5.0,1,10.902326
-15.0,9,10.914134
0.0,6,10.924052
5.0,1,10.927205
5.0,1,10.930017
30.0,2,10.934096
0.0,6,10.942409
0.0,6,10.951731
35.0,3,10.957658
-15.0,9,10.970458
-15.0,9,10.984034
5.0,1,10.987727
5.0,1,10.990708
30.0,2,10.994961
30.0,2,10.999333
30.0,4,11.006804
35.0,3,11.012618
5.0,1,11.015875
35.0,3,11.021771
5.0,1,11.025291
0.0,6,11.035201
5.0,1,11.038779
35.0,3,11.04446
35.0,3,11.050292
30.0,2,11.054288
-15.0,9,11.068075
35.0,3,11.073732
30.0,2,11.077804
53.333333,4,11.085052
35.0,3,11.090556
-5.0,7,11.103887
5.0,1,11.107082
0.0,6,11.116364
35.0,3,11.12216
-30.0,12,11.138441
0.0,6,11.147719
32.5,8,11.159025
0.0,6,11.168807
0.0,6,11.178242
0.0,6,11.187924
48.333333,5,11.195895
5.0,1,11.199193
0.0,6,11.208287
35.0,3,11.214229
35.0,3,11.2204
0.0,6,11.22996
30.0,2,11.234338
35.0,3,11.239836
-30.0,12,11.255497
25.0,3,11.261469
35.0,3,11.268063
35.0,3,11.273637
35.0,3,11.279358
30.0,2,11.283822
-15.0,9,11.296323
-15.0,9,11.308361
-15.0,9,11.320635
5.0,1,11.324126
-20.0,14,11.342028
-60.0,18,11.364622
-5.0,11,11.380384
0.0,6,11.389997
30.0,2,11.394607
-10.0,12,11.411025
0.0,6,11.420395
5.0,1,11.423351
-15.0,9,11.435991
0.0,6,11.445571
-60.0,18,11.469468
0.0,6,11.47899
5.0,1,11.482044
35.0,3,11.487874
-45.0,15,11.505969
5.0,1,11.509642
30.0,2,11.514723
0.0,6,11.530386
30.0,2,11.534756
-15.0,9,11.547044
5.0,1,11.550077
25.0,3,11.555609
48.333333,5,11.563305
35.0,3,11.569085
35.0,3,11.575098
30.0,2,11.579611
-5.0,11,11.595348
30.0,2,11.599767
5.0,9,11.613563
30.0,2,11.618487
30.0,2,11.62309
25.0,3,11.628494
