#{"t_start": 1741745561.153384, "env_id": "None"}
r,l,t
60.0,6,1.166448
20.0,2,1.173253
20.0,2,1.21032
20.0,2,1.214765
20.0,2,1.268705
20.0,6,1.28047
20.0,2,1.284577
20.0,2,1.289473
62.5,3,1.298742
20.0,2,1.306305
60.0,9,1.32412
20.0,2,1.343206
62.222222,6,1.358262
105.0,5,1.380234
40.0,4,1.388742
40.0,6,1.402151
20.0,2,1.406066
20.0,2,1.410763
60.0,6,1.421585
40.0,6,1.432542
40.0,5,1.448065
86.666667,3,1.455713
40.0,6,1.464045
20.0,2,1.468316
40.0,8,1.480737
85.0,8,1.493496
20.0,2,1.497076
20.0,2,1.500921
65.0,2,1.5049
20.0,2,1.509038
40.0,4,1.515171
20.0,2,1.518771
20.0,2,1.523139
40.0,5,1.532552
40.0,9,1.544887
60.0,4,1.550875
60.0,5,1.558678
20.0,4,1.56471
40.0,5,1.571714
20.0,2,1.574981
40.0,5,1.581504
20.0,2,1.585719
20.0,9,1.599276
64.0,4,1.606003
20.0,2,1.609143
20.0,2,1.613564
100.0,9,1.62853
20.0,2,1.632227
60.0,6,1.641183
86.666667,3,1.646849
20.0,4,1.654129
40.0,8,1.665142
20.0,2,1.668721
100.0,7,1.679417
85.714286,6,1.688414
40.0,6,1.698148
20.0,2,1.701695
20.0,8,1.712105
65.0,2,1.717927
61.666667,4,1.724189
20.0,4,1.730242
80.0,6,1.741318
62.5,3,1.745759
40.0,5,1.752642
20.0,7,1.763094
20.0,2,1.76623
20.0,2,1.769531
40.0,6,1.779146
40.0,4,1.78484
20.0,2,1.788241
20.0,2,1.79202
40.0,6,1.800802
40.0,6,1.809048
62.5,3,1.813593
62.5,3,1.818689
61.666667,4,1.825744
40.0,6,1.834801
20.0,2,1.838658
20.0,4,1.845671
20.0,2,1.848842
40.0,5,1.85909
20.0,2,1.86373
20.0,5,1.884825
20.0,2,1.888265
20.0,2,1.891815
20.0,2,1.895008
20.0,3,1.899337
20.0,2,1.902623
86.666667,3,1.907101
20.0,2,1.910302
83.75,6,1.918085
40.0,4,1.92394
20.0,5,1.930908
20.0,2,1.934386
20.0,6,1.942663
40.0,5,1.94948
65.0,2,1.95241
20.0,2,1.955334
80.0,6,1.962874
20.0,4,1.97166
40.0,6,1.979436
62.5,3,1.984246
20.0,2,1.987291
20.0,2,1.990475
20.0,2,1.993683
20.0,2,1.996639
20.0,2,1.999899
20.0,5,2.00645
40.0,8,2.016338
40.0,4,2.021806
40.0,4,2.027603
20.0,2,2.031048
20.0,2,2.034055
20.0,2,2.037497
40.0,8,2.047308
40.0,4,2.052823
40.0,7,2.061913
20.0,3,2.065989
40.0,4,2.071257
20.0,2,2.074197
60.0,6,2.081822
20.0,6,2.090166
40.0,7,2.098999
20.0,2,2.101981
40.0,5,2.109553
20.0,6,2.117252
65.0,2,2.120722
20.0,4,2.126949
82.857143,5,2.133632
20.0,2,2.136955
20.0,2,2.140111
40.0,6,2.148056
20.0,2,2.151057
20.0,2,2.154407
20.0,2,2.15734
20.0,4,2.163508
20.0,2,2.166563
20.0,4,2.172536
20.0,6,2.180148
84.0,4,2.185534
20.0,2,2.188967
60.0,6,2.196631
80.0,6,2.204303
84.0,4,2.209629
20.0,2,2.212461
40.0,5,2.219077
80.0,9,2.230048
20.0,2,2.233547
60.0,8,2.244065
62.857143,5,2.250815
40.0,5,2.257401
80.0,9,2.268961
60.0,4,2.274893
20.0,5,2.281494
20.0,2,2.28476
20.0,2,2.287725
20.0,2,2.290832
40.0,5,2.299085
40.0,5,2.305778
40.0,4,2.310962
40.0,7,2.319807
20.0,2,2.323009
86.666667,3,2.327172
40.0,6,2.334866
20.0,4,2.340477
62.5,3,2.344653
82.857143,5,2.351128
61.666667,4,2.356761
20.0,2,2.359753
20.0,4,2.365164
20.0,7,2.374
20.0,4,2.379358
85.0,5,2.385756
85.0,8,2.395716
20.0,2,2.39951
40.0,6,2.407534
40.0,4,2.412992
40.0,5,2.419472
20.0,4,2.42466
20.0,2,2.427567
84.0,4,2.433867
20.0,2,2.437703
20.0,2,2.440848
20.0,2,2.443719
84.0,4,2.449052
20.0,2,2.451914
20.0,2,2.454963
63.75,6,2.462645
20.0,2,2.465536
20.0,2,2.468522
60.0,6,2.475709
61.666667,4,2.481071
61.666667,4,2.486592
20.0,2,2.489708
60.0,8,2.499477
40.0,6,2.506987
40.0,5,2.513217
20.0,2,2.516108
65.0,2,2.518998
62.5,3,2.523126
40.0,4,2.528335
20.0,2,2.531381
20.0,2,2.534322
20.0,5,2.540425
20.0,2,2.54325
40.0,4,2.548635
20.0,5,2.554766
65.0,8,2.564176
40.0,5,2.570205
20.0,4,2.575576
65.0,2,2.578516
20.0,2,2.581211
20.0,3,2.585272
20.0,2,2.588157
65.0,2,2.591227
80.0,6,2.598604
62.222222,6,2.606014
20.0,2,2.609058
86.666667,3,2.613149
40.0,8,2.622498
20.0,4,2.627531
