#{"t_start": 1742149689.363057, "env_id": "None"}
r,l,t
-73.5,19,0.229107
-43.5,13,0.270279
0.0,1,0.274362
-43.5,13,0.329936
102.5,2,0.341744
102.5,2,0.353262
102.5,2,0.363265
-43.5,13,0.395539
102.5,2,0.399784
2.5,8,0.411941
134.0,8,0.423555
-28.5,10,0.436764
0.0,1,0.43952
102.5,2,0.443592
102.5,2,0.447857
102.5,2,0.4519
-73.5,19,0.47593
0.0,1,0.478964
71.833333,8,0.490626
2.5,8,0.502409
102.5,2,0.506623
0.0,1,0.509807
102.5,2,0.514186
-28.5,10,0.528834
102.5,2,0.533302
118.0,3,0.539065
-28.5,10,0.552857
118.0,3,0.558478
-28.5,10,0.571135
102.5,2,0.575126
-4.666667,12,0.589719
0.0,1,0.592729
0.0,1,0.596039
2.5,8,0.607996
2.5,8,0.619503
-43.5,13,0.636555
102.5,2,0.640783
118.0,3,0.646338
-12.5,11,0.660521
118.0,3,0.667033
118.0,3,0.672991
0.0,1,0.675846
0.0,1,0.679123
0.0,1,0.682227
0.0,1,0.685124
-43.5,13,0.701435
102.5,2,0.705679
102.5,2,0.709741
118.0,3,0.715262
143.0,3,0.720459
-28.5,10,0.73483
102.5,2,0.73917
-58.5,16,0.761406
0.0,1,0.764583
102.5,2,0.769078
0.0,1,0.772353
0.0,1,0.775254
-32.0,19,0.799175
-58.5,16,0.820338
-12.5,11,0.835695
0.0,1,0.838794
-28.5,10,0.852633
102.5,2,0.856957
118.0,3,0.862277
102.5,2,0.866598
2.5,8,0.878634
115.833333,7,0.891782
118.0,3,0.902227
-43.5,13,0.922032
102.5,2,0.933035
-28.5,10,0.951219
-2.5,9,0.970095
0.0,1,0.974714
-57.5,20,1.001097
75.333333,10,1.021131
118.0,3,1.036243
133.0,3,1.049034
102.5,2,1.061085
118.0,3,1.0763
2.5,8,1.092711
118.0,3,1.107229
2.5,8,1.124257
0.0,1,1.128428
118.0,3,1.14113
102.5,2,1.153259
0.0,1,1.1589
0.0,1,1.162897
-28.5,10,1.17714
2.5,8,1.195916
2.5,8,4.871128
0.0,1,4.87421
118.0,3,4.87986
118.0,3,4.885497
-28.5,10,4.899048
-28.5,10,4.911949
0.0,1,4.91492
17.0,8,4.925604
0.0,1,4.929085
-58.5,16,4.951371
102.5,2,4.955616
-43.5,13,4.975365
-13.0,11,4.993574
0.0,1,4.997136
-88.5,22,5.02765
102.5,2,5.03237
102.5,2,5.036634
-73.5,19,5.059333
113.0,4,5.065759
0.0,1,5.068511
-73.5,19,5.091265
64.5,12,5.107756
-27.5,14,5.12448
0.0,1,5.12787
118.0,3,5.133385
134.0,8,5.145138
0.0,1,5.148283
0.0,1,5.15106
-28.5,10,5.164335
-58.5,16,5.185415
102.5,2,5.18947
0.0,1,5.192204
-43.5,13,5.209099
-43.5,13,5.224715
69.5,11,5.239889
118.0,3,5.245507
102.5,2,5.249698
118.0,3,5.255031
-103.5,25,5.284006
102.5,2,5.288128
118.0,3,5.293713
118.0,3,5.299162
7.0,10,5.31243
118.0,3,5.317725
0.0,1,5.320595
102.5,2,5.32461
-12.0,15,5.343729
-12.5,11,5.358573
133.5,4,5.365869
102.5,2,5.370274
149.0,5,5.378561
-28.5,10,5.390871
0.0,1,5.3936
-12.5,11,5.40821
102.5,2,5.412365
35.833333,9,5.423566
102.5,2,5.427856
-28.5,10,5.440842
-43.5,13,5.456848
0.0,1,5.459593
-28.5,10,5.472626
-28.5,10,5.485842
-43.5,13,5.502954
102.5,2,5.507101
102.5,2,5.511054
102.5,2,5.515289
102.5,2,5.519858
75.333333,10,5.53326
118.5,7,5.543487
118.0,3,5.548671
102.5,2,5.552581
102.5,2,5.556738
-28.5,10,5.56935
118.0,3,5.574944
-28.5,10,5.588003
-12.0,15,9.041447
102.5,2,9.045748
0.0,1,9.048863
0.0,1,9.051655
102.5,2,9.055756
102.5,2,9.059932
118.0,3,9.065453
102.5,2,9.069804
0.0,1,9.072499
0.0,1,9.075281
0.0,1,9.07815
-28.5,10,9.091238
149.0,5,9.09949
102.5,2,9.104035
-28.5,10,9.117731
2.0,8,9.128608
118.0,3,9.13438
118.0,3,9.139878
-12.5,11,9.155165
-57.5,20,9.179391
102.5,2,9.183511
0.0,1,9.186237
102.5,2,9.190427
102.5,2,9.194519
49.0,15,9.214733
102.5,2,9.218773
0.0,1,9.221861
118.0,3,9.227326
0.0,1,9.230575
0.0,1,9.233274
118.0,3,9.238774
2.5,8,9.249484
-28.5,10,9.262852
-58.5,16,9.281106
-58.5,16,9.30075
-28.0,17,9.324459
-43.5,13,9.341087
33.0,6,9.349991
-49.642857,30,9.386387
0.0,1,9.389076
-58.5,16,9.409871
-28.5,10,9.424847
118.0,3,9.430049
-43.5,13,9.447099
118.0,3,9.452485
0.0,1,9.455286
0.0,1,9.458636
-45.5,20,9.483528
118.0,3,9.488905
118.0,3,9.494136
-43.5,13,9.509683
-73.5,19,9.53391
102.5,2,9.538437
18.0,9,9.550739
0.0,1,9.553567
26.833333,14,9.572709
-43.5,13,9.589757
33.0,14,9.607863
0.0,1,9.61265
-43.5,13,9.630391
0.0,1,9.633351
0.0,1,9.636188
102.5,2,9.640185
113.0,4,9.647259
102.5,2,9.652297
102.5,2,9.656664
-28.5,10,9.670364
0.0,1,9.673307
0.0,1,9.676406
0.0,1,9.679942
102.5,2,9.686816
0.0,1,9.689712
0.0,1,9.692907
-17.5,12,9.707574
-28.5,10,9.720492
-28.5,10,9.736071
0.0,1,9.738906
118.0,3,9.744507
0.0,1,9.747575
2.5,8,9.758235
-42.5,17,9.779027
128.0,4,9.78594
118.0,3,9.791315
-28.5,10,13.304296
118.0,3,13.310471
118.0,3,13.316201
102.5,2,13.321156
118.0,3,13.326611
0.0,1,13.329676
118.0,3,13.335111
102.5,2,13.339334
-12.5,11,13.354057
-43.5,13,13.371261
118.0,3,13.37688
102.5,2,13.380847
102.5,2,13.384992
-12.5,11,13.399509
0.0,1,13.402884
0.0,1,13.40585
102.5,2,13.410027
-58.5,16,13.430029
-28.5,10,13.443828
2.5,8,13.45515
-28.5,10,13.467577
118.0,3,13.473047
-28.5,10,13.48604
0.0,1,13.488952
43.0,14,13.507875
102.5,2,13.512206
33.0,6,13.521226
118.0,3,13.527708
-28.5,10,13.541725
118.0,3,13.547311
-43.5,13,13.564679
118.0,3,13.570106
