#{"t_start": 1742136023.613734, "env_id": "None"}
r,l,t
-90.0,24,0.239405
0.0,6,0.28742
-20.0,10,0.318868
30.0,2,0.332791
30.0,2,0.345871
35.0,3,0.37165
5.0,1,0.376005
5.0,1,0.381761
-45.0,15,0.402635
0.0,6,0.411139
-20.0,10,0.425271
0.0,6,0.434752
32.5,8,0.447047
30.0,2,0.451089
5.0,1,0.454259
5.0,1,0.458673
-15.0,9,0.470757
35.0,3,0.476022
-30.0,12,0.490757
35.0,3,0.496101
0.0,6,0.504618
30.0,2,0.508571
35.0,3,0.513663
5.0,1,0.51642
5.0,1,0.519713
-15.0,9,0.531844
30.0,2,0.535889
35.0,3,0.541379
0.0,6,0.549577
-15.0,9,0.561666
30.0,2,0.565473
0.0,6,0.57387
-30.0,12,0.589512
30.0,4,0.595492
-30.0,12,0.610421
-30.0,12,0.625767
35.0,3,0.631222
-15.0,9,0.643238
0.0,6,0.652094
0.0,6,0.660264
35.0,3,0.665525
35.0,3,0.671032
35.0,3,0.676326
35.0,3,0.682063
35.0,3,0.68747
53.333333,4,0.694607
35.0,3,0.699648
-15.0,9,0.711461
5.0,1,0.714297
-15.0,9,0.726033
30.0,2,0.730315
0.0,6,0.738638
-15.0,9,0.751505
0.0,6,0.759892
48.333333,5,0.76725
5.0,1,0.770468
5.0,1,0.7732
-20.0,10,0.785761
30.0,2,0.789701
-15.0,9,0.801371
-30.0,12,0.818033
-30.0,12,0.834116
-15.0,9,0.846694
35.0,3,0.851847
-15.0,9,0.863253
5.0,1,0.866012
30.0,2,0.870084
30.0,2,0.874049
30.0,2,0.878036
-30.0,12,0.893724
35.0,3,0.898883
-25.0,15,0.918636
30.0,4,0.924361
35.0,3,0.92946
5.0,1,0.932462
35.0,3,0.937642
35.0,3,0.942995
5.0,1,0.946277
-90.0,28,0.977756
25.0,5,0.984899
30.0,2,0.988865
-15.0,9,1.000949
-45.0,15,1.01884
-15.0,9,1.030412
5.0,1,1.033662
-15.0,9,1.045246
0.0,6,1.055963
-15.0,9,1.068307
-60.0,18,1.092203
30.0,2,1.097007
35.0,3,1.105757
0.0,6,1.115271
5.0,1,1.118336
0.0,6,1.127591
35.0,3,1.133701
35.0,3,1.139343
30.0,2,1.14352
5.0,1,1.146768
35.0,3,1.152275
-5.0,7,1.162388
5.0,1,1.165547
35.0,3,1.171064
-15.0,9,1.182606
35.0,3,1.18804
0.0,6,1.19754
30.0,2,1.201851
30.0,2,1.205867
35.0,3,1.215008
-45.0,15,1.241983
5.0,1,1.24598
0.0,6,1.254796
0.0,6,1.263203
5.0,1,1.266689
30.0,2,1.270875
35.0,3,1.276026
5.0,1,1.279206
-30.0,12,1.294633
35.0,3,1.299784
35.0,3,1.304959
0.0,6,1.315368
30.0,2,1.320908
5.0,1,1.324536
-60.0,18,1.347571
5.0,1,1.350673
5.0,1,1.353713
30.0,2,1.35771
-75.0,21,1.38918
-25.0,15,1.407265
35.0,3,1.412987
35.0,3,1.418221
-15.0,9,1.430607
0.0,6,1.439831
27.5,9,1.451526
5.0,1,1.454336
5.0,1,1.457371
-60.0,18,1.480455
-5.0,7,1.490277
0.0,6,1.499364
-15.0,9,1.511584
0.0,6,1.520532
-45.0,15,1.540881
0.0,6,1.550607
30.0,2,1.554851
-15.0,9,1.567135
5.0,1,1.570803
0.0,6,1.579935
30.0,2,1.5842
35.0,3,1.589606
35.0,3,1.595752
30.0,2,1.599778
35.0,3,1.605369
0.0,6,1.613757
30.0,2,1.617826
5.0,1,1.620942
30.0,2,1.624799
5.0,1,1.628104
-30.0,12,1.643496
30.0,2,1.647499
30.0,2,1.651223
5.0,1,1.654458
30.0,2,1.658542
0.0,6,1.667609
35.0,3,1.672869
35.0,3,1.678175
30.0,2,1.681995
5.0,1,1.685215
-15.0,9,1.697201
-15.0,9,1.709503
35.0,3,1.714734
5.0,1,1.717612
-15.0,9,1.729875
5.0,1,1.733484
-20.0,10,1.747724
0.0,6,1.757166
35.0,3,1.76274
35.0,3,1.768291
35.0,3,1.773973
5.0,1,1.777044
30.0,2,1.780833
30.0,2,1.784843
5.0,1,1.788096
0.0,6,1.79725
30.0,2,1.801315
5.0,1,1.804053
35.0,3,1.809296
5.0,1,1.812134
35.0,3,1.817304
35.0,3,1.822754
5.0,1,1.825606
5.0,1,1.82847
5.0,1,1.83154
0.0,6,1.840686
0.0,6,1.850011
30.0,2,1.854321
5.0,1,1.857384
-15.0,9,1.872476
-30.0,12,1.889984
30.0,2,1.89539
30.0,4,1.903781
-30.0,12,1.922407
5.0,1,1.925489
-15.0,9,1.939862
0.0,6,1.949345
0.0,6,1.958603
35.0,3,1.96439
5.0,1,1.967531
30.0,2,1.972115
30.0,2,1.976643
35.0,3,1.982001
30.0,2,1.986046
0.0,6,1.995493
5.0,1,1.998682
30.0,2,2.002939
30.0,2,2.007509
30.0,2,2.012351
0.0,6,2.021907
0.0,10,2.036751
30.0,2,2.041138
35.0,3,2.047091
-15.0,9,2.059902
-15.0,9,2.073667
30.0,2,2.077975
5.0,1,2.08123
30.0,2,2.085802
43.333333,6,2.095589
35.0,3,2.101534
-35.0,17,2.125657
0.0,6,2.134147
35.0,3,2.139414
35.0,3,2.145242
0.0,6,2.154631
30.0,2,2.158669
30.0,2,2.162575
5.0,1,2.165255
-15.0,9,2.176935
35.0,3,2.18197
0.0,6,2.191467
35.0,3,2.196963
5.0,1,2.199933
-25.0,15,2.217794
-15.0,9,2.23008
35.0,3,2.235301
5.0,1,2.238664
0.0,6,2.247551
-60.0,18,2.269683
5.0,1,2.272965
32.5,8,2.285174
35.0,3,2.290453
-30.0,12,2.305432
0.0,6,2.314069
-15.0,9,2.326533
35.0,3,2.33176
35.0,3,2.337441
37.5,7,2.347742
-15.0,9,2.360119
35.0,3,2.365057
35.0,3,2.369984
0.0,6,2.378444
-15.0,9,2.390104
5.0,1,2.393262
5.0,1,2.396071
30.0,4,2.402556
0.0,6,2.410861
0.0,6,2.420048
30.0,4,2.426499
35.0,3,2.431666
22.5,10,2.444052
30.0,2,2.448339
-15.0,9,2.460077
0.0,6,2.467935
-20.0,10,2.481662
35.0,3,2.486982
35.0,3,2.492334
-15.0,9,2.504704
30.0,2,2.508866
30.0,2,2.512848
35.0,3,2.517867
5.0,1,2.520546
-15.0,9,2.533213
30.0,2,2.537751
30.0,2,2.541755
35.0,3,2.547455
30.0,2,2.551555
-15.0,9,2.56368
35.0,3,2.568949
30.0,2,2.572965
35.0,3,2.578184
5.0,1,2.581478
-15.0,9,2.592973
-15.0,9,2.605743
0.0,6,2.614535
27.5,9,2.626483
-15.0,9,2.639146
0.0,6,2.647838
-45.0,15,2.666694
0.0,6,2.675967
-60.0,18,2.696279
5.0,1,2.699171
5.0,1,2.702409
35.0,3,2.708154
5.0,1,2.71121
0.0,6,2.719178
35.0,3,2.724396
5.0,1,2.727702
12.0,12,2.742927
5.0,1,2.745819
-15.0,9,2.75788
5.0,1,2.761281
30.0,2,2.765848
35.0,3,2.771019
30.0,2,2.775327
5.0,1,2.778244
35.0,3,2.783375
0.0,6,2.791609
30.0,2,2.795483
-60.0,18,2.816898
5.0,1,2.820016
0.0,6,2.829216
0.0,10,2.841577
-15.0,9,2.852896
-15.0,9,2.865691
35.0,3,2.870672
35.0,3,2.876245
-135.0,33,2.912143
30.0,2,2.916146
35.0,3,2.921644
35.0,3,2.926987
5.0,1,2.930251
30.0,2,2.934225
30.0,2,2.938265
0.0,6,2.946846
35.0,3,2.952782
5.0,1,2.955521
-15.0,9,2.96914
35.0,3,2.974303
35.0,3,2.980049
0.0,6,2.988924
30.0,2,2.992957
0.0,6,3.002104
5.0,1,3.005077
0.0,6,3.013278
30.0,2,3.017385
5.0,1,3.020484
5.0,1,3.023634
35.0,3,3.028907
35.0,3,3.034408
0.0,6,3.043968
30.0,2,3.048007
5.0,1,3.050891
-15.0,9,3.063033
30.0,2,3.066852
30.0,2,3.071287
-15.0,9,3.08343
5.0,1,3.086659
0.0,6,3.095744
0.0,6,3.104329
5.0,1,3.10754
5.0,1,3.110319
-30.0,12,3.125813
0.0,6,3.135368
30.0,2,3.13929
30.0,2,3.14344
0.0,6,3.152146
-15.0,17,3.172686
0.0,6,3.182125
0.0,6,3.190861
-15.0,9,3.202314
35.0,3,3.208056
-15.0,9,3.219895
35.0,3,3.225812
0.0,6,3.234513
0.0,6,3.243416
30.0,2,3.24759
35.0,3,3.252679
30.0,2,3.256967
30.0,2,3.261374
30.0,2,3.265501
0.0,6,3.27525
35.0,3,3.281374
30.0,2,3.289176
30.0,2,3.293698
35.0,3,3.312621
-5.0,7,3.330119
0.0,6,3.340311
30.0,2,3.346096
35.0,3,3.352782
10.0,8,3.364958
30.0,2,3.369466
-15.0,9,3.381828
30.0,2,3.38581
5.0,1,3.388963
35.0,3,3.394645
5.0,1,3.397403
-30.0,12,3.412919
-15.0,9,3.424874
-15.0,9,3.437268
0.0,6,3.446323
0.0,6,3.455889
0.0,6,3.464459
35.0,3,3.470616
5.0,1,3.474
30.0,2,3.478293
0.0,6,3.487341
30.0,2,3.491484
35.0,3,3.497007
35.0,3,3.502472
30.0,2,3.506243
30.0,2,3.510633
0.0,6,18.692702
35.0,3,18.698686
0.0,6,18.707545
35.0,3,18.713025
5.0,1,18.716071
-15.0,9,18.728849
35.0,3,18.734488
30.0,2,18.738678
30.0,2,18.742831
-35.0,17,18.763384
0.0,6,18.772833
-10.0,8,18.783875
35.0,3,18.789456
35.0,3,18.794653
-15.0,9,18.807429
0.0,6,18.816285
30.0,2,18.820333
30.0,2,18.824453
30.0,2,18.828908
-15.0,9,18.841526
5.0,1,18.84453
35.0,3,18.850344
-15.0,9,18.863073
-5.0,7,18.873681
-30.0,12,18.889171
30.0,2,18.893229
-15.0,9,18.906296
35.0,3,18.911866
-60.0,18,18.934157
0.0,6,18.943448
35.0,3,18.94891
0.0,6,18.95718
-15.0,9,18.969263
5.0,1,18.972426
35.0,3,18.977567
30.0,2,18.981332
5.0,1,18.984104
27.5,9,18.996182
35.0,3,19.001687
0.0,6,19.011136
35.0,3,19.01667
35.0,3,19.022089
5.0,1,19.02534
35.0,3,19.030935
35.0,3,19.03701
5.0,1,19.040069
5.0,1,19.043057
30.0,2,19.047277
30.0,2,19.05179
0.0,6,19.060595
37.5,7,19.070114
-15.0,9,19.082696
1.666667,14,19.100067
0.0,6,19.109753
35.0,3,19.114897
5.0,1,19.117664
-15.0,9,19.130105
30.0,2,19.134084
5.0,1,19.136858
-5.0,7,19.146158
0.0,6,19.154844
30.0,2,19.158921
5.0,1,19.162183
-15.0,9,19.175912
0.0,6,19.185837
-20.0,10,19.201045
-45.0,15,19.218851
30.0,2,19.223158
5.0,1,19.226251
-5.0,7,19.236011
-20.0,10,19.249299
-30.0,12,19.26477
0.0,6,19.273701
-35.0,13,19.291122
30.0,2,19.295401
30.0,2,19.299617
30.0,2,19.303537
35.0,3,19.308412
30.0,2,19.31237
5.0,1,19.315151
30.0,2,19.319044
30.0,2,19.322901
-30.0,12,19.337521
35.0,3,19.342519
35.0,3,19.347978
-15.0,9,19.359792
5.0,1,19.362744
-30.0,12,19.378038
-15.0,9,19.390724
5.0,1,19.393697
-15.0,9,19.405923
0.0,6,19.414851
35.0,3,19.420435
5.0,1,19.423382
35.0,3,19.429647
5.0,1,19.432792
5.0,1,19.435825
0.0,6,19.444572
35.0,3,19.450129
35.0,3,19.455367
5.0,1,19.4582
5.0,1,19.461045
30.0,2,19.465267
-15.0,9,19.477714
0.0,6,19.486514
35.0,3,19.492415
35.0,3,19.497922
30.0,2,19.501976
-15.0,9,19.513596
35.0,3,19.519015
30.0,2,19.523169
30.0,2,19.527818
35.0,3,19.533275
-15.0,13,19.550017
0.0,6,19.559395
30.0,2,19.563292
-15.0,9,19.576138
30.0,2,19.58051
35.0,3,19.587124
30.0,2,19.591574
5.0,1,19.594618
53.333333,4,19.601631
35.0,3,19.607073
35.0,3,19.612755
-15.0,9,19.624907
5.0,1,19.628036
30.0,2,19.632394
0.0,6,19.642429
-15.0,9,19.655077
35.0,3,19.661264
-30.0,12,19.676721
-10.0,12,19.692547
-75.0,21,19.718026
35.0,3,19.723353
35.0,3,19.729064
0.0,6,19.738016
5.0,9,19.750267
-45.0,15,19.768874
35.0,3,19.774118
30.0,2,19.778627
32.5,8,19.790161
-45.0,15,19.810334
30.0,2,19.814656
0.0,6,19.823591
35.0,3,19.828337
22.5,10,19.841125
-5.0,11,19.856002
0.0,6,19.865078
35.0,3,19.870261
0.0,6,19.878997
-5.0,7,19.889354
-15.0,9,19.902299
30.0,2,19.906405
-30.0,12,19.922929
-30.0,12,19.938212
35.0,3,19.943673
0.0,6,19.952927
35.0,3,19.958082
-30.0,12,19.973659
5.0,1,19.977047
0.0,6,19.985522
35.0,3,19.990776
5.0,1,19.993584
-15.0,9,20.006131
0.0,6,20.015069
35.0,3,20.019999
5.0,1,20.023376
5.0,1,20.026445
37.5,7,20.036212
0.0,6,20.044427
30.0,2,20.048393
-5.0,7,20.057448
30.0,2,20.06161
35.0,3,20.067279
-15.0,9,20.07972
30.0,4,20.085763
0.0,6,20.093971
30.0,2,20.0977
30.0,2,20.101751
35.0,3,20.107025
5.0,1,20.109952
0.0,6,20.119911
30.0,2,20.124214
-45.0,15,20.144353
5.0,1,20.147371
-45.0,15,20.165276
30.0,2,20.169436
35.0,3,20.174464
30.0,2,20.179117
0.0,6,20.188834
5.0,1,20.191739
0.0,6,20.20103
-30.0,12,20.216649
0.0,6,20.225871
30.0,2,20.229936
35.0,3,20.235004
0.0,6,20.244028
-30.0,12,20.25896
30.0,2,20.263413
0.0,6,20.271629
30.0,2,20.275396
5.0,1,20.278282
5.0,1,20.281075
-20.0,10,20.293854
-15.0,9,20.306122
30.0,2,20.310318
-15.0,9,20.322524
5.0,1,20.325688
30.0,2,20.33
35.0,3,20.33571
35.0,3,20.341012
35.0,3,20.34689
35.0,3,20.352575
35.0,3,20.35794
5.0,1,20.360788
5.0,1,20.36353
5.0,1,20.366811
30.0,2,20.370954
-30.0,12,20.386221
-20.0,10,20.399322
-45.0,15,20.417587
0.0,6,20.426474
35.0,3,20.431775
35.0,3,20.437082
5.0,1,20.440488
-15.0,9,20.45353
35.0,3,20.459135
35.0,3,20.464653
-15.0,9,20.477589
35.0,3,20.483084
32.5,8,20.494148
35.0,3,20.499475
-60.0,18,20.521167
35.0,3,20.526627
