#{"t_start": 1737642913.672917, "env_id": "None"}
r,l,t
5.955555,10,0.882391
7.0,10,0.884575
5.6887264,10,0.885824
10.0,10,0.88746
6.955555,10,0.888717
7.395297,10,0.890843
5.0,10,0.892074
7.0,10,0.893689
6.0,10,0.894886
9.0,10,0.896984
7.0,10,0.898192
2.0,10,0.899811
10.955555,10,0.901036
5.7331715,10,0.903033
5.0,10,0.904241
6.3281446,10,0.90586
7.0,10,0.907057
4.6621256,10,0.909208
10.0,10,0.910436
4.0,10,0.912068
5.0,10,0.913319
8.240424,10,0.915373
4.0,10,0.916587
5.6621256,10,0.918272
7.621574,10,0.919484
6.0,10,0.921815
5.0,10,0.923039
7.0,10,0.924658
5.0,10,0.925879
3.9555547,10,0.927958
4.0,10,0.929198
7.0,10,0.930858
-0.3378744,10,0.932101
11.666019,10,0.934089
6.5782986,10,0.935287
5.6621256,10,0.936892
9.662126,10,0.938097
4.0,10,0.940092
6.5782986,10,0.94129
8.0,10,0.942893
11.578299,10,0.944083
10.0,10,0.946072
7.955555,10,0.947289
10.0,10,0.948879
2.0,10,0.950084
7.955555,10,0.952116
5.0,10,0.953329
2.0,10,0.954952
9.666019,10,0.95617
5.0,10,0.958162
2.6621256,10,0.95939
5.0,10,0.961007
5.0,10,0.962231
-0.3378744,10,0.964272
8.955555,10,0.96548
8.578299,10,0.967088
10.0,10,0.968286
9.0,10,0.970277
9.0,10,0.971498
9.578299,10,0.973103
9.0,10,0.974309
4.0,10,0.976302
10.0,10,0.977493
3.0,10,0.979088
8.688726,10,0.980296
8.0,10,0.982328
9.0,10,0.983537
4.0,10,0.985135
5.0,10,0.986342
4.666019,10,0.988508
9.955555,10,0.989746
11.733171,10,0.991482
6.6621256,10,0.992709
4.0,10,0.99482
4.7331715,10,0.996037
6.0,10,0.997981
6.666019,10,0.999294
6.0,10,1.001412
12.0,10,1.002726
10.733171,10,1.004484
3.0,10,1.005823
8.688726,10,1.007886
9.0,10,1.009162
9.0,10,1.010793
11.578299,10,1.012014
2.0,10,1.014245
9.533854,10,1.015492
3.0,10,1.017108
2.0,10,1.018443
7.0,10,1.020678
5.0,10,1.021891
8.662126,10,1.023588
7.955555,10,1.024815
4.955555,10,1.026995
9.666019,10,1.028338
5.0,10,1.029996
5.0,10,1.031224
6.0,10,1.033376
6.0,10,1.034631
6.0,10,1.036252
8.0,10,1.037458
8.662126,10,1.039626
7.955555,10,1.040868
12.0,10,1.042531
9.621574,10,1.043855
9.955555,10,1.045951
8.0,10,1.047168
7.0,10,1.048787
10.955555,10,1.050062
6.0,10,1.052134
6.955555,10,1.053331
6.6660194,10,1.054928
8.955555,10,1.056255
7.666019,10,1.058388
2.0,10,1.059663
8.0,10,1.061337
9.0,10,1.062546
7.0,10,1.064796
9.578299,10,1.066011
6.0,10,1.067678
7.0,10,1.0689
4.0,10,1.071005
4.0,10,1.072225
7.5782986,10,1.073838
0.0,10,1.075052
5.6621256,10,1.077454
4.240424,10,1.078795
8.662126,10,1.08052
2.0,10,1.081731
5.7331715,10,1.083826
3.0,10,1.085043
8.955555,10,1.086649
8.0,10,1.08785
4.955555,10,1.089953
8.0,10,1.091173
3.9555547,10,1.092784
7.0,10,1.093979
7.0,10,1.096022
8.0,10,1.097223
9.662126,10,1.098835
2.6621253,10,1.100044
6.0,10,1.1022
9.662126,10,1.103434
8.533854,10,1.105073
7.0,10,1.106312
9.0,10,1.108296
7.955555,10,1.109556
9.0,10,1.11116
3.6621256,10,1.112361
5.6621256,10,1.11439
6.9774895,10,1.115736
7.0,10,1.117339
11.0,10,1.118571
0.0,10,1.120739
6.0,10,1.121957
7.31147,10,1.123591
9.733171,10,1.124796
2.0,10,1.126863
9.688726,10,1.128072
6.666019,10,1.129739
6.0,10,1.13093
8.0,10,1.132918
4.0,10,1.134122
8.662126,10,1.135724
4.955555,10,1.137007
10.0,10,1.139076
9.906444,10,1.140288
5.666019,10,1.141899
5.0,10,1.143212
7.0,10,1.145197
6.0,10,1.14639
3.0,10,1.148002
11.733171,10,1.149203
2.0,10,1.151165
7.31147,10,1.152386
9.955555,10,1.154412
4.395297,10,1.155626
9.240424,10,1.15759
8.0,10,1.158769
4.5782986,10,1.160365
7.0,10,1.16156
2.666019,10,1.163491
8.0,10,1.164683
4.7331715,10,1.166272
7.666019,10,1.167466
4.0,10,1.169437
4.0,10,1.170647
6.666019,10,1.172245
2.0,10,1.173443
5.0,10,1.175453
6.666019,10,1.176652
11.578299,10,1.178237
6.0,10,1.179437
3.0,10,1.181391
3.666019,10,1.182596
4.0,10,1.184189
7.0,10,1.185409
8.0,10,1.187491
6.666019,10,1.188704
2.666019,10,1.190337
8.0,10,1.191547
7.0,10,1.193651
7.0,10,1.194943
6.0,10,1.196542
7.0,10,1.197861
6.0,10,1.199946
10.0,10,1.201223
9.662126,10,1.202894
10.733171,10,1.204095
0.0,10,1.206183
4.0,10,1.207397
4.0,10,1.209096
6.955555,10,1.210329
8.0,10,1.212407
5.955555,10,1.213641
4.5782986,10,1.215242
5.0,10,1.216446
5.0,10,1.218577
6.0,10,1.219803
7.0,10,1.22151
9.0,10,1.222723
8.578299,10,1.224869
9.0,10,1.226195
8.0,10,1.227801
8.733171,10,1.229
6.0,10,1.231454
8.0,10,1.232686
9.0,10,1.234311
8.578299,10,1.235533
9.0,10,1.237568
4.0,10,1.238789
8.955555,10,1.240467
8.0,10,1.241673
5.0,10,1.243762
3.0,10,1.245023
6.0,10,1.246741
3.7331715,10,1.247959
6.0,10,1.249993
7.0,10,1.251203
3.6621256,10,1.252811
9.955555,10,1.254104
5.0,10,1.256157
6.0,10,1.25736
6.0,10,1.259071
9.240424,10,1.260332
5.0,10,1.262529
10.0,10,1.263772
7.0,10,1.26552
7.0,10,1.266744
6.0,10,1.268798
8.0,10,1.270059
4.7331715,10,1.271714
6.955555,10,1.272927
10.0,10,1.275086
6.0,10,1.276315
6.0,10,1.27793
2.0,10,1.279239
4.0,10,1.281322
4.0,10,1.282605
4.0,10,1.284297
7.666019,10,1.285627
6.6621256,10,1.287652
11.328145,10,1.288891
5.0,10,1.290566
5.0,10,1.291771
5.7331715,10,1.293864
9.395297,10,1.295076
9.955555,10,1.296721
7.0,10,1.297927
4.0,10,1.299949
9.0,10,1.301149
6.666019,10,1.302825
8.955555,10,1.304029
9.0,10,1.306024
13.0,10,1.307253
6.0,10,1.309109
5.0,10,1.310439
8.0,10,1.312453
8.733171,10,1.313661
9.0,10,1.315253
12.0,10,1.316503
8.0,10,1.318547
3.6621256,10,1.319774
2.0,10,1.321369
10.0,10,1.322567
10.0,10,1.324616
5.0,10,1.325828
5.5782986,10,1.327429
7.0,10,1.328638
1.6660191,10,1.330817
10.688726,10,1.332086
7.666019,10,1.333727
8.0,10,1.33493
5.0,10,1.336938
5.955555,10,1.338155
4.0,10,1.339823
8.240424,10,1.341041
8.0,10,1.343068
6.0,10,1.344281
10.0,10,1.345872
9.578299,10,1.347064
7.0,10,1.349144
6.0,10,1.350344
5.0,10,1.352025
6.955555,10,1.353234
4.0,10,1.355218
7.6621256,10,1.356411
5.0,10,1.358008
10.733171,10,1.359206
4.0,10,1.361229
3.6621256,10,1.362434
6.6621256,10,1.36402
9.662126,10,1.365272
4.0,10,1.367287
5.0,10,1.368507
2.666019,10,1.370109
7.5782986,10,1.371489
9.733171,10,1.373611
6.0,10,1.374827
8.578299,10,1.376505
7.0,10,1.377702
10.0,10,1.379806
4.0,10,1.381135
5.5338535,10,1.382795
8.621573,10,1.384015
6.0,10,1.386297
5.0,10,1.387509
7.3281446,10,1.389389
7.0,10,1.390676
7.6660194,10,1.392857
5.0,10,1.394155
6.0,10,1.395768
6.5782986,10,1.397085
7.0,10,1.399681
8.0,10,1.400981
7.0,10,1.402616
1.6621256,10,1.403839
6.0,10,1.406095
7.0,10,1.40732
5.0,10,1.408973
2.0,10,1.41021
7.0,10,1.412369
5.0,10,1.41367
4.0,10,1.415282
2.0,10,1.416492
9.733171,10,1.418691
7.0,10,1.4199
6.955555,10,1.421589
7.0,10,1.422814
8.0,10,1.424964
8.955555,10,1.426215
7.0,10,1.427846
7.0,10,1.429467
6.6621256,10,1.431662
8.955555,10,1.432894
6.6621256,10,1.434511
7.0,10,1.435729
7.6660194,10,1.437848
9.578299,10,1.439109
7.955555,10,1.440734
5.0,10,1.441955
10.0,10,1.44403
4.0,10,1.445267
9.0,10,1.446893
9.0,10,1.448155
7.7331715,10,1.450585
8.662126,10,1.451829
7.0,10,1.453606
6.0,10,1.454896
7.6621256,10,1.457036
3.0,10,1.458273
9.0,10,1.459904
9.0,10,1.461139
6.0,10,1.463354
11.0,10,1.464652
7.5782986,10,1.466677
6.6621256,10,1.467925
5.6621256,10,1.470199
6.0,10,1.4715
7.0,10,1.473107
7.0,10,1.474338
3.0,10,1.476424
8.955555,10,1.47781
3.7331715,10,1.479534
8.0,10,1.480833
6.955555,10,1.48302
9.0,10,1.484238
9.733171,10,1.485917
7.0,10,1.487144
4.0,10,1.489227
2.0,10,1.490463
7.0,10,1.492173
7.0,10,1.493582
8.578299,10,1.495682
6.0,10,1.496901
3.0,10,1.498512
5.666019,10,1.499781
12.0,10,1.501895
10.0,10,1.503172
8.955555,10,1.504815
4.0,10,1.506095
6.0,10,1.508171
7.0,10,1.509562
7.0,10,1.51132
6.0,10,1.512601
10.0,10,1.514675
8.0,10,1.516004
3.6621256,10,1.51765
9.666019,10,1.518854
8.955555,10,1.520925
4.5782986,10,1.522151
1.6176802,10,1.523777
10.0,10,1.525075
4.0,10,1.527075
4.6621256,10,1.528296
7.0,10,1.531473
8.0,10,1.532753
7.0,10,1.534903
11.578299,10,1.536115
10.0,10,1.537721
5.955555,10,1.539034
6.0,10,1.541154
7.0,10,1.542362
7.0,10,1.543958
5.0,10,1.545157
6.0,10,1.547523
4.0,10,1.548799
3.6621256,10,1.55044
8.0,10,1.5517
4.0,10,1.553842
6.5782986,10,1.555053
4.0,10,1.556667
6.0,10,1.55798
9.0,10,1.560034
0.0,10,1.561311
8.955555,10,1.562922
6.6660194,10,1.564133
4.0,10,1.566322
2.0,10,1.567568
6.0,10,1.569259
4.0,10,1.570473
4.0,10,1.572602
6.666019,10,1.573822
3.0,10,1.575476
8.733171,10,1.576674
4.0,10,1.57868
5.0,10,1.579888
6.0,10,1.581569
3.6621256,10,1.58285
9.0,10,1.584933
6.666019,10,1.586228
9.0,10,1.587886
11.578299,10,1.589093
6.5782986,10,1.591115
5.0,10,1.592341
7.6621256,10,1.594035
4.0,10,1.595325
7.666019,10,1.59749
5.0,10,1.598737
2.6621253,10,1.600376
6.6621256,10,1.601587
5.0,10,1.603814
6.0,10,1.605036
5.0,10,1.606671
5.0,10,1.607976
9.0,10,1.610126
8.244318,10,1.611361
5.0,10,1.613031
3.666019,10,1.61426
5.328145,10,1.616487
4.666019,10,1.617789
5.0,10,1.619509
4.0,10,1.62074
6.0,10,1.623096
9.0,10,1.624385
2.6621256,10,1.62625
12.0,10,1.627522
5.6621256,10,1.629611
7.0,10,1.630882
7.0,10,1.632598
2.0,10,1.633815
4.6176805,10,1.636083
4.666019,10,1.637307
6.0,10,1.639064
4.0,10,1.640294
4.666019,10,1.642566
8.0,10,1.643804
10.662126,10,1.645477
4.0,10,1.646711
10.0,10,1.649017
6.955555,10,1.650332
4.955555,10,1.652055
0.0,10,1.653278
5.0,10,1.655361
9.0,10,1.656608
8.662126,10,1.658268
6.0,10,1.659683
6.666019,10,1.661926
4.0,10,1.663262
8.0,10,1.664949
4.6621256,10,1.666226
0.0,10,1.668481
8.955555,10,1.669766
2.0,10,1.671459
4.0,10,1.672738
7.0,10,1.674877
7.0,10,1.676164
7.5782986,10,1.67779
7.6621256,10,1.679093
7.955555,10,1.681253
4.0,10,1.682553
10.0,10,1.684184
7.5782986,10,1.685402
7.666019,10,1.687494
5.7331715,10,1.688795
7.0,10,1.690483
6.0,10,1.691851
7.0,10,1.694059
3.6621256,10,1.695303
9.0,10,1.696915
7.0,10,1.698184
5.0,10,1.700254
9.617681,10,1.701512
2.666019,10,1.703118
5.0,10,1.704314
4.0,10,1.706629
6.0,10,1.707854
8.621573,10,1.709528
5.31147,10,1.71074
6.0,10,1.712762
6.0,10,1.714065
6.0,10,1.715646
8.621573,10,1.716851
8.0,10,1.718847
6.0,10,1.720046
5.0,10,1.721644
7.0,10,1.722854
9.0,10,1.724879
2.0,10,1.726151
4.0,10,1.727811
4.0,10,1.729074
2.0,10,1.731173
3.6621256,10,1.732398
6.666019,10,1.734041
4.0,10,1.735315
8.0,10,1.737367
7.0,10,1.738672
6.6621256,10,1.740294
0.0,10,1.741576
0.6621256,10,1.743629
4.955555,10,1.744839
8.31147,10,1.746444
7.0,10,1.747703
3.0,10,1.749687
10.0,10,1.750951
2.666019,10,1.752619
9.0,10,1.753879
6.0,10,1.755938
2.0,10,1.757151
9.578299,10,1.75876
2.0,10,1.760023
4.0,10,1.762061
9.0,10,1.763273
8.662126,10,1.764876
4.0,10,1.766138
7.0,10,1.768125
5.0,10,1.769321
6.6621256,10,1.77097
3.9555547,10,1.772193
11.666019,10,1.77416
6.955555,10,1.775357
6.6621256,10,1.776965
6.0,10,1.778168
4.0,10,1.780197
7.0,10,1.781392
7.955555,10,1.783255
6.0,10,1.784446
4.0,10,1.786396
2.666019,10,1.787602
11.955555,10,1.789251
2.0,10,1.790445
2.0,10,1.792422
9.0,10,1.793688
9.0,10,1.795341
5.0,10,1.79654
5.0,10,1.798484
6.0,10,1.799681
6.0,10,1.80128
9.666019,10,1.80256
2.666019,10,1.804605
13.0,10,1.805821
2.666019,10,1.807419
4.0,10,1.808684
0.66212535,10,1.810805
7.6176805,10,1.812009
9.0,10,1.813831
6.0,10,1.81507
8.0,10,1.817091
2.0,10,1.81831
8.662126,10,1.819985
7.0,10,1.821324
7.0,10,1.823403
6.0,10,1.82459
4.0,10,1.82628
10.0,10,1.827508
5.0,10,1.829651
6.0,10,1.830932
5.0,10,1.832595
5.0,10,1.833868
3.3281446,10,1.835964
4.0,10,1.837172
7.0,10,1.838927
7.0,10,1.840146
8.0,10,1.842373
10.0,10,1.843585
4.0,10,1.845207
6.3281446,10,1.846451
9.0,10,1.848587
4.0,10,1.849817
7.0,10,1.85145
7.955555,10,1.852663
6.0,10,1.854807
4.0,10,1.856149
7.666019,10,1.857952
6.0,10,1.859243
8.0,10,1.861585
7.0,10,1.862804
9.0,10,1.864389
5.0,10,1.865743
8.0,10,1.867865
7.7331715,10,1.869136
8.662126,10,1.870839
4.0,10,1.872127
11.578299,10,1.874159
13.0,10,1.87536
12.578299,10,1.877013
6.0,10,1.878279
2.0,10,1.880481
8.0,10,1.881747
9.955555,10,1.883378
6.0,10,1.88458
5.7331715,10,1.886655
6.5782986,10,1.887872
5.955555,10,1.889633
6.0,10,1.89089
5.0,10,1.892964
6.0,10,1.894305
8.0,10,1.895906
4.7331715,10,1.897108
10.0,10,1.899242
7.0,10,1.90047
6.0,10,1.902261
6.0,10,1.903473
5.0,10,1.905596
5.0,10,1.906802
7.0,10,1.9084
9.395297,10,1.909718
8.955555,10,1.911748
1.666019,10,1.912957
8.733171,10,1.91455
5.666019,10,1.915757
7.0,10,1.917773
4.0,10,1.919042
6.0,10,1.920805
2.0,10,1.922013
6.0,10,1.924108
4.0,10,1.925319
8.578299,10,1.926923
10.688726,10,1.928128
7.0,10,1.930245
7.6887264,10,1.931465
1.6621256,10,1.933143
6.0,10,1.934412
4.0,10,1.936449
6.0,10,1.937661
4.0,10,1.939627
6.0,10,1.940817
9.0,10,1.942792
4.0,10,1.943987
6.0,10,1.945571
9.244318,10,1.946771
7.0,10,1.948812
6.240424,10,1.950039
8.666019,10,1.951651
5.666019,10,1.952853
8.0,10,1.954912
6.0,10,1.956173
4.0,10,1.957828
4.0,10,1.95904
7.7331715,10,1.961153
9.0,10,1.962424
7.3991904,10,1.964034
7.0,10,1.965238
6.0,10,1.96728
5.666019,10,1.968548
4.0,10,1.970139
5.0,10,1.971335
4.0,10,1.973309
2.0,10,1.974517
7.666019,10,1.97611
3.6621253,10,1.977376
8.666019,10,1.979426
10.0,10,1.980641
6.6621256,10,1.982238
8.0,10,1.983491
10.733171,10,1.985542
7.666019,10,1.986819
4.955555,10,1.988503
4.0,10,1.98972
4.0,10,1.991738
7.955555,10,1.992949
8.0,10,1.994531
7.0,10,1.995727
4.0,10,1.99781
8.578299,10,1.999004
9.0,10,2.000603
9.328145,10,2.001997
8.0,10,2.004055
4.7331715,10,2.005263
7.0,10,2.006957
4.0,10,2.008201
6.0,10,2.010475
8.0,10,2.011764
4.666019,10,2.013503
9.0,10,2.014757
4.7331715,10,2.01719
9.0,10,2.018529
10.399191,10,2.020169
6.0,10,2.021431
7.0,10,2.023651
4.0,10,2.024886
2.0,10,2.026501
2.0,10,2.027761
10.0,10,2.029854
6.0,10,2.031116
9.0,10,2.03293
3.9555547,10,2.034225
6.0,10,2.036367
4.0,10,2.037727
6.666019,10,2.039485
5.0,10,2.040714
5.0,10,2.042931
7.5782986,10,2.044241
9.0,10,2.045857
6.0,10,2.047242
6.0,10,2.049386
6.0,10,2.0506
5.0,10,2.052392
1.0,10,2.053636
12.0,10,2.055904
9.0,10,2.057127
6.0,10,2.05883
3.6621256,10,2.060168
4.0,10,2.062381
11.0,10,2.063661
9.0,10,2.065329
2.0,10,2.06654
4.0,10,2.068689
5.666019,10,2.069903
6.5782986,10,2.071597
3.0,10,2.072815
8.0,10,2.075051
5.0,10,2.076278
3.31147,10,2.077971
6.5782986,10,2.079234
8.0,10,2.081327
3.6621256,10,2.082632
11.0,10,2.084315
9.0,10,2.085523
2.0,10,2.087697
5.0,10,2.089018
6.0,10,2.090695
8.733171,10,2.091919
9.955555,10,2.094089
7.6621256,10,2.095393
7.0,10,2.097308
2.0,10,2.098597
6.0,10,2.101036
9.0,10,2.102366
6.0,10,2.104054
1.7331715,10,2.105352
6.0,10,2.107511
9.0,10,2.108722
10.31147,10,2.11037
8.0,10,2.111582
11.0,10,2.113708
4.0,10,2.114981
5.0,10,2.116594
12.0,10,2.1178
2.666019,10,2.120012
7.0,10,2.121228
9.621573,10,2.122887
7.0,10,2.124103
5.666019,10,2.126347
5.0,10,2.127601
6.0,10,2.129371
2.7331715,10,2.130643
2.0,10,2.13274
9.0,10,2.134016
7.0,10,2.135865
7.0,10,2.13709
3.6621256,10,2.139181
9.0,10,2.140394
6.7331715,10,2.142079
9.0,10,2.143529
7.0,10,2.145543
3.0,10,2.14681
11.621574,10,2.148425
6.0,10,2.149698
4.0,10,2.151937
7.0,10,2.153167
4.955555,10,2.154801
7.6621256,10,2.156001
6.955555,10,2.158051
4.955555,10,2.159345
12.578299,10,2.160965
3.6621256,10,2.162273
8.578299,10,2.164364
6.0,10,2.165656
5.0,10,2.167338
10.0,10,2.168584
8.662126,10,2.170639
6.0,10,2.171832
7.5782986,10,2.173437
6.666019,10,2.174648
11.0,10,2.176921
7.955555,10,2.178143
2.0,10,2.179827
6.6621256,10,2.18103
6.6621256,10,2.183086
8.0,10,2.184304
4.0,10,2.185989
1.6621256,10,2.187215
8.0,10,2.189373
7.7331715,10,2.190574
4.0,10,2.192166
5.0,10,2.193358
7.0,10,2.195383
0.6660191,10,2.19667
6.955555,10,2.19834
6.0,10,2.199632
2.955555,10,2.201818
4.0,10,2.203043
12.0,10,2.204708
4.7331715,10,2.205926
6.0,10,2.208068
4.0,10,2.209346
9.0,10,2.211027
7.0,10,2.212237
9.0,10,2.214265
5.6176805,10,2.215596
5.0,10,2.217201
8.0,10,2.218388
6.0,10,2.220576
6.0,10,2.221781
4.0,10,2.223539
4.6621256,10,2.224748
7.0,10,2.226983
7.955555,10,2.228215
9.955555,10,2.229905
9.666019,10,2.231181
7.7331715,10,2.233347
5.0,10,2.234549
2.0,10,2.236295
5.0,10,2.237501
6.955555,10,2.239607
7.0,10,2.240852
10.578299,10,2.242477
7.955555,10,2.24377
4.0,10,2.24594
4.666019,10,2.247314
5.6621256,10,2.248978
4.666019,10,2.250273
5.7331715,10,2.252405
7.0,10,2.253622
6.0,10,2.255551
9.328145,10,2.256765
4.0,10,2.258951
8.0,10,2.260271
5.0,10,2.261911
5.0,10,2.263185
11.0,10,2.265387
5.5782986,10,2.266634
5.0,10,2.268296
5.0,10,2.269528
6.0,10,2.271677
7.0,10,2.272959
9.0,10,2.274652
7.0,10,2.275935
6.0,10,2.278012
11.578299,10,2.279263
6.0,10,2.28089
4.0,10,2.282278
4.0,10,2.284391
7.0,10,2.285586
9.0,10,2.287178
4.0,10,2.288406
6.0,10,2.290701
8.0,10,2.292039
-0.3378744,10,2.2937
9.399191,10,2.294983
8.0,10,2.297241
2.0,10,2.298539
6.7331715,10,2.300223
5.0,10,2.301441
4.0,10,2.303626
5.0,10,2.30485
9.733171,10,2.306588
8.662126,10,2.307795
4.0,10,2.309923
4.0,10,2.311137
7.0,10,2.312751
7.0,10,2.314016
7.0,10,2.316016
5.0,10,2.317214
7.0,10,2.318819
12.0,10,2.32009
5.0,10,2.322126
4.0,10,2.323336
9.0,10,2.324998
10.0,10,2.326199
9.578299,10,2.32822
6.6621256,10,2.329573
7.0,10,2.331254
4.0,10,2.332464
8.0,10,2.334699
5.0,10,2.335974
5.6621256,10,2.337628
8.621573,10,2.33893
10.195979,10,2.341048
6.7331715,10,2.342265
4.0,10,2.34392
9.0,10,2.345184
7.0,10,2.347345
4.0,10,2.348619
2.0,10,2.350309
