#{"t_start": 1742229566.614126, "env_id": "None"}
r,l,t
5.0,1,11.88756
0.0,6,11.967863
5.0,1,11.970704
0.0,6,12.115549
35.0,3,12.193741
35.0,3,12.197663
5.0,1,12.267981
-15.0,9,12.418804
53.333333,4,12.496036
30.0,2,12.499471
35.0,3,12.572603
-30.0,12,12.795626
-15.0,9,12.947766
-30.0,12,13.166835
5.0,1,13.237481
-15.0,9,13.379525
0.0,6,13.455441
25.0,5,13.60501
5.0,1,13.608185
35.0,3,13.681663
35.0,3,13.872754
-15.0,9,14.105765
0.0,6,14.180226
37.5,7,14.327482
35.0,3,14.401215
0.0,6,14.479994
5.0,1,14.483318
-15.0,9,14.700086
30.0,2,14.705136
5.0,1,14.707681
0.0,6,14.847759
-20.0,10,15.000816
0.0,6,15.147844
-15.0,9,15.298903
5.0,1,15.301837
0.0,6,15.446854
35.0,3,15.520146
-20.0,10,15.669898
30.0,2,15.7418
35.0,3,15.745962
35.0,3,15.82044
-2.142857,21,16.183215
-30.0,12,16.39744
30.0,2,16.4696
30.0,4,16.547066
35.0,3,16.617645
-30.0,12,16.835992
35.0,3,16.840682
1.666667,14,17.129641
35.0,3,17.204814
-15.0,9,17.354746
48.333333,5,17.430207
35.0,3,17.505618
35.0,3,17.57961
30.0,2,17.583166
43.333333,6,17.732325
5.0,1,17.736491
5.0,1,17.739028
0.0,6,17.886951
30.0,2,17.890307
5.0,1,17.894279
35.0,3,17.966833
30.0,2,18.03927
-40.0,14,18.262079
0.0,6,18.405215
30.0,2,18.408668
5.0,1,18.411626
30.0,2,18.483377
0.0,6,18.562545
15.0,7,18.709693
0.0,6,19.092358
35.0,3,19.097536
0.0,6,19.250548
-5.0,7,19.409614
30.0,2,19.413683
-45.0,15,19.70516
0.0,6,19.781205
0.0,6,19.926716
0.0,6,20.005589
-50.0,16,20.294935
0.0,6,20.438725
5.0,1,20.441712
-50.0,16,20.751053
10.0,8,20.898409
35.0,3,20.973355
5.0,1,20.976006
5.0,1,20.978812
48.333333,5,21.128574
35.0,3,21.134428
15.0,7,21.292599
0.0,6,21.437718
35.0,3,21.442001
10.0,8,21.592186
35.0,3,21.666145
-15.0,9,21.895561
-35.0,17,22.271234
5.0,1,22.275909
35.0,3,22.353791
-30.0,12,22.589783
-30.0,12,22.820879
5.0,1,22.825588
-15.0,9,22.978652
5.0,1,22.982258
-5.0,7,23.148122
35.0,3,23.256769
35.0,3,23.371248
35.0,3,23.375704
0.0,6,23.542697
22.5,10,23.711235
0.0,6,23.863993
20.0,4,23.94515
-25.0,15,24.238864
35.0,3,24.244826
15.0,7,24.393974
30.0,2,24.468688
30.0,2,24.472054
10.0,8,24.622921
15.0,7,24.769197
15.0,7,24.915022
0.0,6,24.990802
30.0,2,25.347823
53.333333,4,25.420866
0.0,6,25.49805
30.0,2,25.576355
5.0,1,25.580757
35.0,3,25.657758
43.333333,6,25.735128
-15.0,9,25.883756
-15.0,9,26.127667
17.0,11,26.287895
30.0,2,26.39857
5.0,1,26.401312
5.0,1,26.405037
5.0,1,26.48989
30.0,2,26.493435
-30.0,12,26.723016
30.0,2,26.797698
5.0,1,26.800306
48.333333,5,26.872971
30.0,4,26.948339
35.0,3,27.02695
30.0,2,27.030839
35.0,3,27.104981
30.0,4,27.182272
48.333333,5,27.267175
30.0,4,27.349112
38.333333,7,27.50864
30.0,2,27.585275
5.0,1,27.589172
30.0,2,27.592307
-30.0,12,27.829701
5.0,1,27.902855
30.0,2,27.908041
0.0,6,28.049465
53.333333,4,28.125026
5.0,1,28.127792
25.0,3,28.21361
-35.0,17,28.520326
35.0,3,28.594476
0.0,6,28.670016
5.0,1,28.673897
30.0,2,28.744146
30.0,2,28.747275
-20.0,20,29.131183
53.333333,4,29.211189
35.0,3,29.292873
5.0,1,29.295509
0.0,6,29.450466
30.0,2,29.455584
35.0,3,29.531367
0.0,6,29.901181
5.0,1,29.904371
35.0,3,29.988837
5.0,1,29.991634
35.0,3,30.074752
30.0,2,30.078153
35.0,3,30.156462
0.0,6,30.236754
5.0,1,30.317317
53.333333,4,30.397137
-5.0,7,30.481988
5.0,1,30.560097
5.0,1,30.562705
0.0,6,30.637702
-15.0,9,30.8604
5.0,1,30.863488
5.0,1,30.865887
0.0,6,31.016294
22.0,10,31.164041
35.0,3,31.239749
35.0,3,31.313274
