#{"t_start": 1741757031.719667, "env_id": "None"}
r,l,t
65.0,2,1.233684
20.0,2,1.270005
20.0,2,1.274701
20.0,8,1.30174
20.0,6,1.317172
82.222222,6,1.333239
60.0,4,1.346988
60.0,6,1.36152
40.0,5,1.380075
80.0,6,1.454589
20.0,4,1.471738
20.0,2,1.475113
20.0,2,1.47834
20.0,2,1.481308
82.857143,5,1.488487
20.0,2,1.491584
20.0,2,1.495419
40.0,6,1.503119
40.0,4,1.509399
20.0,4,1.517064
40.0,5,1.525552
40.0,6,1.532916
40.0,5,1.539189
80.0,9,1.550927
20.0,2,1.553809
20.0,2,1.556701
20.0,6,1.56387
40.0,4,1.569423
147.0,9,1.582563
40.0,4,1.588608
85.0,5,1.595515
61.666667,4,1.600772
20.0,2,1.603725
20.0,2,1.606526
20.0,4,1.611614
61.666667,4,1.616809
40.0,4,1.622056
40.0,5,1.628977
20.0,2,1.631951
60.0,5,1.638356
40.0,8,1.648233
40.0,6,1.655564
60.0,7,1.664278
20.0,3,1.668404
64.0,4,1.673547
20.0,4,1.67895
40.0,8,1.688749
40.0,4,1.694101
20.0,2,1.69705
61.666667,4,1.702157
20.0,6,1.709883
20.0,5,1.7161
20.0,2,1.719157
20.0,2,1.721992
40.0,5,1.728008
20.0,8,1.737312
20.0,2,1.740179
20.0,2,1.742931
20.0,2,1.745675
40.0,5,1.751854
40.0,5,1.758282
60.0,6,1.765906
40.0,5,1.772172
62.5,3,1.776065
20.0,2,1.779003
20.0,2,1.782213
20.0,4,1.787534
105.0,5,1.794005
40.0,5,1.80018
84.0,4,1.805414
20.0,5,1.81151
82.857143,5,1.81768
40.0,6,1.825378
20.0,2,1.828577
61.666667,4,1.833706
20.0,2,1.836733
20.0,4,1.84195
20.0,2,1.845186
85.0,5,1.851551
40.0,6,1.858889
40.0,7,1.867209
40.0,6,1.875243
65.0,2,1.878448
62.5,3,1.88248
20.0,2,1.885471
60.0,9,1.896417
20.0,4,1.901376
40.0,5,1.907381
60.0,5,1.913575
20.0,2,1.916412
40.0,7,1.924704
60.0,8,1.934127
40.0,6,1.941578
105.714286,6,1.948945
60.0,6,1.956062
20.0,2,1.958858
85.714286,6,1.966125
40.0,4,1.971208
40.0,6,1.978439
20.0,6,1.985942
20.0,2,1.988937
60.0,6,1.9968
62.5,3,2.000924
20.0,2,2.00395
40.0,6,2.011263
62.5,3,2.015312
20.0,4,2.0203
20.0,2,2.023519
80.0,7,2.032004
40.0,4,2.037232
20.0,2,2.040123
20.0,4,2.045223
20.0,2,2.048046
20.0,2,2.050812
20.0,2,2.053592
20.0,7,2.06176
84.0,4,2.066956
20.0,2,2.069836
40.0,5,2.075955
